EID	Peak_group	Peak_intensity
E017	Peaks in long LOCKs	4.55168215
E017	Peaks in short LOCKs	4.57659535
E017	Typical peaks	3.987269325
E007	Peaks in long LOCKs	2.90183815
E007	Peaks in short LOCKs	2.99122935
E007	Typical peaks	2.74544755
E009	Peaks in long LOCKs	3.170032
E009	Peaks in short LOCKs	3.206544
E009	Typical peaks	2.80754225
E010	Peaks in long LOCKs	2.9643444
E010	Peaks in short LOCKs	3.02205605
E010	Typical peaks	2.57548145
E013	Peaks in long LOCKs	3.046546625
E013	Peaks in short LOCKs	3.0890245
E013	Typical peaks	2.89699855
E012	Peaks in long LOCKs	3.72021305
E012	Peaks in short LOCKs	3.8088764
E012	Typical peaks	3.6575167
E011	Peaks in long LOCKs	3.57100685
E011	Peaks in short LOCKs	3.841200625
E011	Typical peaks	3.25846995
E004	Peaks in long LOCKs	3.280102125
E004	Peaks in short LOCKs	3.67475625
E004	Typical peaks	2.992129675
E005	Peaks in long LOCKs	3.12060585
E005	Peaks in short LOCKs	3.520075025
E005	Typical peaks	2.922921975
E006	Peaks in long LOCKs	3.983422225
E006	Peaks in short LOCKs	4.15029425
E006	Typical peaks	3.765641475
E062	Peaks in long LOCKs	3.50907935
E062	Peaks in short LOCKs	3.77519095
E062	Typical peaks	3.2382179
E034	Peaks in long LOCKs	3.76460585
E034	Peaks in short LOCKs	3.840775
E034	Typical peaks	3.3812542
E045	Peaks in long LOCKs	3.166292125
E045	Peaks in short LOCKs	3.263583275
E045	Typical peaks	3.01842445
E033	Peaks in long LOCKs	2.69688605
E033	Peaks in short LOCKs	2.751741
E033	Typical peaks	2.3842713
E044	Peaks in long LOCKs	3.1565064
E044	Peaks in short LOCKs	3.27941925
E044	Typical peaks	2.88550355
E043	Peaks in long LOCKs	3.287539775
E043	Peaks in short LOCKs	3.4885222
E043	Typical peaks	3.0803989
E039	Peaks in long LOCKs	3.24480805
E039	Peaks in short LOCKs	3.44602795
E039	Typical peaks	3.023335975
E041	Peaks in long LOCKs	3.317456325
E041	Peaks in short LOCKs	3.4812549
E041	Typical peaks	3.063477125
E042	Peaks in long LOCKs	3.3167422
E042	Peaks in short LOCKs	3.463924
E042	Typical peaks	3.1129825
E040	Peaks in long LOCKs	3.919752725
E040	Peaks in short LOCKs	4.024349825
E040	Typical peaks	3.777424425
E037	Peaks in long LOCKs	3.8553642
E037	Peaks in short LOCKs	3.8976224
E037	Typical peaks	3.65887835
E048	Peaks in long LOCKs	3.9916042
E048	Peaks in short LOCKs	4.03899555
E048	Typical peaks	3.7996575
E038	Peaks in long LOCKs	3.1997473
E038	Peaks in short LOCKs	3.32474985
E038	Typical peaks	3.0758036
E047	Peaks in long LOCKs	2.95376425
E047	Peaks in short LOCKs	3.05021115
E047	Typical peaks	2.767612
E029	Peaks in long LOCKs	3.6223734
E029	Peaks in short LOCKs	3.778302975
E029	Typical peaks	3.57308415
E031	Peaks in long LOCKs	2.51665345
E031	Peaks in short LOCKs	2.547848525
E031	Typical peaks	2.4641601
E035	Peaks in long LOCKs	3.0779089
E035	Peaks in short LOCKs	3.1442923
E035	Typical peaks	2.91995895
E051	Peaks in long LOCKs	3.49333905
E051	Peaks in short LOCKs	3.6811042
E051	Typical peaks	2.930453425
E050	Peaks in long LOCKs	3.414470025
E050	Peaks in short LOCKs	3.6261618
E050	Typical peaks	2.99028415
E036	Peaks in long LOCKs	3.108792725
E036	Peaks in short LOCKs	3.18354555
E036	Typical peaks	2.90902205
E032	Peaks in long LOCKs	2.722983475
E032	Peaks in short LOCKs	2.848462175
E032	Typical peaks	2.529361125
E046	Peaks in long LOCKs	3.1365332
E046	Peaks in short LOCKs	3.262350475
E046	Typical peaks	2.907389225
E030	Peaks in long LOCKs	2.8250762
E030	Peaks in short LOCKs	2.95838135
E030	Typical peaks	2.6258817
E026	Peaks in long LOCKs	3.4068682
E026	Peaks in short LOCKs	3.3999202
E026	Typical peaks	3.0173823
E049	Peaks in long LOCKs	3.42318695
E049	Peaks in short LOCKs	3.410771
E049	Typical peaks	2.98430795
E025	Peaks in long LOCKs	3.5013708
E025	Peaks in short LOCKs	3.484516125
E025	Typical peaks	3.0278801
E023	Peaks in long LOCKs	3.3794488
E023	Peaks in short LOCKs	3.39924085
E023	Typical peaks	3.0250396
E052	Peaks in long LOCKs	3.4508515
E052	Peaks in short LOCKs	3.44800405
E052	Typical peaks	3.07099325
E055	Peaks in long LOCKs	3.50136285
E055	Peaks in short LOCKs	3.4514685
E055	Typical peaks	2.9600957
E056	Peaks in long LOCKs	3.4300134
E056	Peaks in short LOCKs	3.362524775
E056	Typical peaks	2.92846195
E059	Peaks in long LOCKs	3.1655817
E059	Peaks in short LOCKs	3.2713582
E059	Typical peaks	2.9286387
E061	Peaks in long LOCKs	3.14969585
E061	Peaks in short LOCKs	3.2327318
E061	Typical peaks	2.9007749
E057	Peaks in long LOCKs	3.155254475
E057	Peaks in short LOCKs	3.260418675
E057	Typical peaks	3.043556725
E058	Peaks in long LOCKs	3.2200787
E058	Peaks in short LOCKs	3.22954985
E058	Typical peaks	2.932951
E028	Peaks in long LOCKs	3.846456975
E028	Peaks in short LOCKs	3.5101754
E028	Typical peaks	3.1517843
E027	Peaks in long LOCKs	3.31081215
E027	Peaks in short LOCKs	3.31102535
E027	Typical peaks	2.937450575
E054	Peaks in long LOCKs	2.9893765
E054	Peaks in short LOCKs	3.053768975
E054	Typical peaks	2.75435955
E053	Peaks in long LOCKs	3.422044075
E053	Peaks in short LOCKs	3.47854455
E053	Typical peaks	3.109402
E112	Peaks in long LOCKs	3.203945725
E112	Peaks in short LOCKs	3.4231001
E112	Typical peaks	3.16030445
E093	Peaks in long LOCKs	3.12586185
E093	Peaks in short LOCKs	3.24842105
E093	Typical peaks	2.95910365
E071	Peaks in long LOCKs	3.30418035
E071	Peaks in short LOCKs	3.3678822
E071	Typical peaks	3.03666585
E074	Peaks in long LOCKs	2.9590281
E074	Peaks in short LOCKs	3.00557995
E074	Typical peaks	2.75611945
E068	Peaks in long LOCKs	3.936568325
E068	Peaks in short LOCKs	4.02197615
E068	Typical peaks	3.6568861
E069	Peaks in long LOCKs	3.83730225
E069	Peaks in short LOCKs	3.983368575
E069	Typical peaks	3.52514365
E072	Peaks in long LOCKs	3.3190334
E072	Peaks in short LOCKs	3.438442375
E072	Typical peaks	3.0866361
E067	Peaks in long LOCKs	2.92215135
