EID	Peak_group	Expresion_of_nearest_genes	number
E004	Peaks in long LOCKs	0.16938049531195	8921
E004	Peaks in short LOCKs	-0.0675262353228468	222
E004	Typical peaks	0.411955944783949	3710
E005	Peaks in long LOCKs	0.114944287814037	8228
E005	Peaks in short LOCKs	-0.454692883534176	328
E005	Typical peaks	0.482872737725368	5068
E006	Peaks in long LOCKs	-0.633578047041541	4684
E006	Peaks in short LOCKs	-0.782516055786094	992
E006	Typical peaks	0.279091990605762	3478
E007	Peaks in long LOCKs	0.438542348786111	11297
E007	Peaks in short LOCKs	0.0759117614827775	151
E007	Typical peaks	0.619823500457278	1880
E011	Peaks in long LOCKs	0.286344161887768	7455
E011	Peaks in short LOCKs	0.439088835197411	1248
E011	Typical peaks	0.602059991327962	2424
E012	Peaks in long LOCKs	0.442009159140952	6675
E012	Peaks in short LOCKs	0.173743849510389	439
E012	Typical peaks	0.468273307457156	4865
E013	Peaks in long LOCKs	0.385695616220824	10295
E013	Peaks in short LOCKs	0.463743721247059	844
E013	Typical peaks	0.799960527405984	5244
E027	Peaks in long LOCKs	-0.837139570990294	2820
E027	Peaks in short LOCKs	-0.334428125814213	1303
E027	Typical peaks	0.296226287261161	4926
E028	Peaks in long LOCKs	-0.181116585477289	6741
E028	Peaks in short LOCKs	-0.355561410532161	846
E028	Typical peaks	0.332438459915605	4706
E037	Peaks in long LOCKs	-0.586703473032976	6439
E037	Peaks in short LOCKs	-0.71225020329534	197
E037	Typical peaks	-0.350665141287858	1764
E038	Peaks in long LOCKs	-0.609064892896621	8172
E038	Peaks in short LOCKs	-0.703334809738469	203
E038	Typical peaks	-0.333482019445119	2280
E047	Peaks in long LOCKs	-0.565431095965801	8625
E047	Peaks in short LOCKs	-0.391475283780056	930
E047	Typical peaks	0.34192833289602	2313
E050	Peaks in long LOCKs	-0.714442690992226	4103
E050	Peaks in short LOCKs	-0.344861565188618	1549
E050	Typical peaks	0.437512390561472	3204
E053	Peaks in long LOCKs	-0.467245621007502	4330
E053	Peaks in short LOCKs	-0.350666232943566	1154
E053	Typical peaks	0.403463701345318	3168
E054	Peaks in long LOCKs	-0.474955192963155	4184
E054	Peaks in short LOCKs	-0.497572880015567	802
E054	Typical peaks	0.365862054304596	3403
