EID	Peak_group	Elements	Proportion of elements
E017	Peaks in long LOCKs	3' UTR	1.18965810706035
E017	Peaks in long LOCKs	5' UTR	0.278171325130869
E017	Peaks in long LOCKs	exon	2.5289126050052
E017	Peaks in long LOCKs	Intergenic	51.6343132500383
E017	Peaks in long LOCKs	intron	38.2856740250839
E017	Peaks in long LOCKs	non-coding	0.989427954777941
E017	Peaks in long LOCKs	promoter-TSS	3.3954021137868
E017	Peaks in long LOCKs	TTS	1.69844061911664
E017	Peaks in short LOCKs	3' UTR	1.35262462808097
E017	Peaks in short LOCKs	5' UTR	0.814664579531026
E017	Peaks in short LOCKs	exon	3.73302841922437
E017	Peaks in short LOCKs	Intergenic	49.977615793154
E017	Peaks in short LOCKs	intron	33.8617259482792
E017	Peaks in short LOCKs	non-coding	1.20622854278778
E017	Peaks in short LOCKs	promoter-TSS	7.10018860999421
E017	Peaks in short LOCKs	TTS	1.95392347894848
E017	Typical peaks	3' UTR	0.65472069249812
E017	Typical peaks	5' UTR	0.387130577591777
E017	Typical peaks	exon	1.99248781021172
E017	Typical peaks	Intergenic	61.9371315499129
E017	Typical peaks	intron	30.6695403342657
E017	Typical peaks	non-coding	0.74650413860236
E017	Typical peaks	promoter-TSS	2.8224831467394
E017	Typical peaks	TTS	0.790001750178045
E007	Peaks in long LOCKs	3' UTR	1.72075122149061
E007	Peaks in long LOCKs	5' UTR	0.850938984527574
E007	Peaks in long LOCKs	exon	5.91852156982447
E007	Peaks in long LOCKs	Intergenic	37.1905864043999
E007	Peaks in long LOCKs	intron	40.8215495456745
E007	Peaks in long LOCKs	non-coding	1.67063422679993
E007	Peaks in long LOCKs	promoter-TSS	9.12778732918077
E007	Peaks in long LOCKs	TTS	2.69923071810228
E007	Peaks in short LOCKs	3' UTR	1.9937917860554
E007	Peaks in short LOCKs	5' UTR	2.17316607263494
E007	Peaks in short LOCKs	exon	8.1903580497123
E007	Peaks in short LOCKs	Intergenic	31.3951592237985
E007	Peaks in short LOCKs	intron	37.8977683043306
E007	Peaks in short LOCKs	non-coding	1.76753558366529
E007	Peaks in short LOCKs	promoter-TSS	14.8123558599483
E007	Peaks in short LOCKs	TTS	1.76986511985464
E007	Typical peaks	3' UTR	0.775903319912169
E007	Typical peaks	5' UTR	0.178435403253577
E007	Typical peaks	exon	2.5450523306168
E007	Typical peaks	Intergenic	57.6776416116727
E007	Typical peaks	intron	36.0877031621973
E007	Typical peaks	non-coding	0.500498635274756
E007	Typical peaks	promoter-TSS	1.49329711954278
E007	Typical peaks	TTS	0.741468417529899
E009	Peaks in long LOCKs	3' UTR	1.17776615304779
E009	Peaks in long LOCKs	5' UTR	0.36702397700875
E009	Peaks in long LOCKs	exon	2.37998114298334
E009	Peaks in long LOCKs	Intergenic	50.7303480446796
E009	Peaks in long LOCKs	intron	37.6005508757157
E009	Peaks in long LOCKs	non-coding	1.02837270313648
E009	Peaks in long LOCKs	promoter-TSS	4.58399509576395
E009	Peaks in long LOCKs	TTS	2.13196200766438
E009	Peaks in short LOCKs	3' UTR	1.36081591398314
E009	Peaks in short LOCKs	5' UTR	0.910093511080468
E009	Peaks in short LOCKs	exon	2.68886419812113
E009	Peaks in short LOCKs	Intergenic	48.0021795346357
E009	Peaks in short LOCKs	intron	36.6953068744873
E009	Peaks in short LOCKs	non-coding	1.07520308088808
E009	Peaks in short LOCKs	promoter-TSS	7.74005829044636
E009	Peaks in short LOCKs	TTS	1.52747859635777
E009	Typical peaks	3' UTR	0.408334181485089
E009	Typical peaks	5' UTR	0.131904561117816
E009	Typical peaks	exon	1.26338746964828
E009	Typical peaks	Intergenic	66.5021349191348
E009	Typical peaks	intron	27.5556847977279
E009	Typical peaks	non-coding	0.907764708163097
E009	Typical peaks	promoter-TSS	2.41747483412575
E009	Typical peaks	TTS	0.813314528597254
E010	Peaks in long LOCKs	3' UTR	1.19913418777975
E010	Peaks in long LOCKs	5' UTR	0.401152886281165
E010	Peaks in long LOCKs	exon	2.3187377790251
E010	Peaks in long LOCKs	Intergenic	51.502878281385
E010	Peaks in long LOCKs	intron	37.5693226809491
E010	Peaks in long LOCKs	non-coding	1.08566190308201
E010	Peaks in long LOCKs	promoter-TSS	4.02304166049197
E010	Peaks in long LOCKs	TTS	1.90007062100585
E010	Peaks in short LOCKs	3' UTR	1.02315678014103
E010	Peaks in short LOCKs	5' UTR	0.560386016304804
E010	Peaks in short LOCKs	exon	3.39756720700597
E010	Peaks in short LOCKs	Intergenic	47.9335703176331
