sample	group	H1_DMVs	ME_DMVs	NPC_DMVs	TBL_DMVs	MSC_DMVs	LINE	LTR	SINE
E034	Typical peaks	NA	NA	NA	NA	NA	50	50	1.98614101360869
E027	Typical peaks	NA	NA	NA	NA	NA	50	50	NA
E028	Typical peaks	NA	NA	NA	NA	NA	50	50	NA
E059	Typical peaks	NA	NA	NA	NA	NA	50	50	NA
E073	Typical peaks	NA	NA	NA	NA	NA	50	50	NA
E074	Typical peaks	NA	NA	NA	NA	NA	50	50	NA
E075	Typical peaks	NA	NA	NA	NA	NA	50	50	NA
E079	Typical peaks	NA	NA	NA	NA	NA	50	50	NA
E100	Typical peaks	NA	NA	NA	NA	NA	50	50	NA
E103	Typical peaks	NA	NA	NA	NA	NA	50	50	NA
E105	Typical peaks	NA	NA	NA	NA	NA	50	50	NA
E106	Typical peaks	NA	NA	NA	NA	NA	50	50	NA
E113	Typical peaks	NA	NA	NA	NA	NA	50	50	NA
E087	Typical peaks	NA	NA	NA	NA	NA	49.0969130745574	50	NA
E063	Typical peaks	NA	NA	NA	NA	NA	41.8575403741765	50	NA
E068	Typical peaks	NA	NA	NA	NA	NA	41.3304381080206	50	NA
E066	Typical peaks	NA	NA	NA	NA	NA	37.2054645936037	50	NA
E095	Typical peaks	NA	NA	NA	NA	NA	36.8100208979555	50	NA
E109	Typical peaks	NA	NA	NA	NA	NA	29.7881241784125	50	NA
E097	Typical peaks	NA	NA	NA	NA	NA	26.591110783699	50	NA
E054	Typical peaks	NA	NA	NA	NA	NA	25.4956415891182	50	NA
E072	Typical peaks	NA	NA	NA	NA	NA	24.7689092392204	50	NA
E071	Typical peaks	NA	NA	NA	NA	NA	24.3210295890109	50	NA
E007	Typical peaks	NA	NA	NA	NA	NA	24.2809436355068	50	NA
E096	Typical peaks	NA	NA	NA	NA	NA	23.8681235322412	50	NA
E013	Typical peaks	NA	NA	NA	NA	NA	21.5614972148769	50	NA
E067	Typical peaks	NA	NA	NA	NA	NA	18.7478587926399	50	NA
E005	Typical peaks	NA	NA	NA	NA	NA	15.6916284009322	50	NA
E069	Typical peaks	NA	NA	NA	NA	NA	13.588629205485	50	NA
E036	Typical peaks	NA	NA	NA	NA	NA	9.44491048135665	50	NA
E101	Typical peaks	NA	NA	NA	NA	NA	8.94297145965956	50	NA
E006	Typical peaks	NA	NA	NA	NA	NA	7.12398014643303	50	NA
E102	Typical peaks	NA	NA	NA	NA	NA	6.85111794776811	50	NA
E062	Typical peaks	NA	NA	NA	NA	NA	6.55022187476271	50	NA
E077	Typical peaks	NA	NA	NA	NA	NA	6.16372463324992	50	NA
E111	Typical peaks	NA	NA	NA	NA	NA	3.9068028103175	50	NA
E108	Typical peaks	NA	NA	NA	NA	NA	1.52999077784697	50	NA
E004	Typical peaks	NA	NA	NA	NA	NA	NA	50	NA
E009	Typical peaks	NA	NA	NA	NA	NA	NA	50	NA
E010	Typical peaks	NA	NA	NA	NA	NA	NA	50	NA
E017	Typical peaks	NA	NA	NA	NA	NA	NA	50	NA
E023	Typical peaks	NA	NA	NA	NA	NA	NA	50	NA
