EID	group	MD_anno	gene_density
Overall	Overall	common PMDs	4.3744253274418
Overall	Overall	common HMDs	16.1223341302433
E017	Long LOCKs	common PMDs	10.2635965249452
E017	Long LOCKs	common HMDs	16.0797415920103
E007	Long LOCKs	common PMDs	6.53523975753559
E007	Long LOCKs	common HMDs	17.1550073637655
E009	Long LOCKs	common PMDs	9.65791223799162
E009	Long LOCKs	common HMDs	16.1334699954728
E010	Long LOCKs	common PMDs	8.27772061108947
E010	Long LOCKs	common HMDs	17.9244496526861
E013	Long LOCKs	common PMDs	7.56573964712851
E013	Long LOCKs	common HMDs	20.1594301990624
E012	Long LOCKs	common PMDs	9.98057468947572
E012	Long LOCKs	common HMDs	19.5864107473624
E011	Long LOCKs	common PMDs	7.48517538509085
E011	Long LOCKs	common HMDs	16.6331609712477
E004	Long LOCKs	common PMDs	7.92494807613481
E004	Long LOCKs	common HMDs	16.8920964457077
E005	Long LOCKs	common PMDs	8.26196680775678
E005	Long LOCKs	common HMDs	18.9895741731464
E006	Long LOCKs	common PMDs	10.5275329308308
E006	Long LOCKs	common HMDs	20.3248761896672
E062	Long LOCKs	common PMDs	8.70200519711965
E062	Long LOCKs	common HMDs	14.5685599857262
E034	Long LOCKs	common PMDs	8.61770143064153
E034	Long LOCKs	common HMDs	14.8195049567292
E045	Long LOCKs	common PMDs	8.50351547542852
E045	Long LOCKs	common HMDs	14.7713060905576
E033	Long LOCKs	common PMDs	11.8784080811076
E033	Long LOCKs	common HMDs	16.9542811040235
E044	Long LOCKs	common PMDs	9.42855683897312
E044	Long LOCKs	common HMDs	15.3637884516229
E043	Long LOCKs	common PMDs	8.66947816070875
E043	Long LOCKs	common HMDs	15.1964360716438
E039	Long LOCKs	common PMDs	7.94309647780636
E039	Long LOCKs	common HMDs	15.3318104847386
E041	Long LOCKs	common PMDs	7.98800428974228
E041	Long LOCKs	common HMDs	13.0017690745786
E042	Long LOCKs	common PMDs	9.48124386040895
E042	Long LOCKs	common HMDs	16.8959641550699
E040	Long LOCKs	common PMDs	9.41738991453023
E040	Long LOCKs	common HMDs	15.721455045331
E037	Long LOCKs	common PMDs	10.4709384997838
E037	Long LOCKs	common HMDs	15.411942144213
E048	Long LOCKs	common PMDs	11.0873524200445
E048	Long LOCKs	common HMDs	17.3104903585184
E038	Long LOCKs	common PMDs	8.32632773509695
E038	Long LOCKs	common HMDs	14.3164804078461
E047	Long LOCKs	common PMDs	7.48106858420215
E047	Long LOCKs	common HMDs	12.6777532003855
E029	Long LOCKs	common PMDs	10.8114736126172
E029	Long LOCKs	common HMDs	18.7331926009706
E031	Long LOCKs	common PMDs	10.1748547229167
E031	Long LOCKs	common HMDs	16.2306401258551
E035	Long LOCKs	common PMDs	9.94248810718522
E035	Long LOCKs	common HMDs	17.7886866680543
E051	Long LOCKs	common PMDs	8.04382096323262
E051	Long LOCKs	common HMDs	16.4720271585694
E050	Long LOCKs	common PMDs	8.03919564954757
E050	Long LOCKs	common HMDs	16.1186450365452
E036	Long LOCKs	common PMDs	7.81894572385891
E036	Long LOCKs	common HMDs	16.0664011569528
E032	Long LOCKs	common PMDs	8.61850840437698
E032	Long LOCKs	common HMDs	16.1264147171491
E046	Long LOCKs	common PMDs	9.39593895971202
E046	Long LOCKs	common HMDs	15.6936034055948
E030	Long LOCKs	common PMDs	9.72225721423617
E030	Long LOCKs	common HMDs	17.4577239632132
E026	Long LOCKs	common PMDs	7.21891150268172
E026	Long LOCKs	common HMDs	16.1934412875012
E049	Long LOCKs	common PMDs	7.55526435647425
E049	Long LOCKs	common HMDs	15.1041967966789
E025	Long LOCKs	common PMDs	8.7065995755536
E025	Long LOCKs	common HMDs	14.4514099919852
E023	Long LOCKs	common PMDs	7.29695742521263
E023	Long LOCKs	common HMDs	14.6586806512139
E052	Long LOCKs	common PMDs	9.0768226022681
E052	Long LOCKs	common HMDs	16.3925937023351
E055	Long LOCKs	common PMDs	9.108123391909
E055	Long LOCKs	common HMDs	18.843596867199
E056	Long LOCKs	common PMDs	9.82597429094044
E056	Long LOCKs	common HMDs	20.5409157627475
E059	Long LOCKs	common PMDs	10.1736217967281
E059	Long LOCKs	common HMDs	19.0880834493985
E061	Long LOCKs	common PMDs	6.4557646133207
