GeneList	EID	GO:0045109: intermediate filament organization	GO:0045104: intermediate filament cytoskeleton organization	GO:0045103: intermediate filament-based process	GO:0003002: regionalization	GO:0099601: regulation of neurotransmitter receptor activity	GO:0043269: regulation of ion transport	GO:0048704: embryonic skeletal system morphogenesis	GO:0048706: embryonic skeletal system development	GO:0030855: epithelial cell differentiation	GO:0009952: anterior/posterior pattern specification	GO:0050911: detection of chemical stimulus involved in sensory perception of smell	GO:0007608: sensory perception of smell	GO:0009593: detection of chemical stimulus	GO:0007606: sensory perception of chemical stimulus	GO:0050907: detection of chemical stimulus involved in sensory perception	GO:0051606: detection of stimulus	GO:0050906: detection of stimulus involved in sensory perception	GO:0007156: homophilic cell adhesion via plasma membrane adhesion molecules	GO:0031424: keratinization	GO:0098742: cell-cell adhesion via plasma-membrane adhesion molecules	GO:0001708: cell fate specification	GO:0048665: neuron fate specification	GO:0045165: cell fate commitment	GO:0048663: neuron fate commitment	GO:0030900: forebrain development	GO:0045664: regulation of neuron differentiation	GO:0007420: brain development	GO:0050804: modulation of chemical synaptic transmission	GO:0099177: regulation of trans-synaptic signaling	GO:0043583: ear development
Long LOCK peaks in S-PMDs	E095	12	11	10	6.2	3.9	2.2	4.6	5.3	4	5	3.1	3.1	3.1	4.6	3.5	2.4	3.4	NA	3	NA	NA	NA	1.3	NA	NA	NA	NA	1.2	1.2	NA
Long LOCK peaks in S-PMDs	E107	13	11	11	7.2	5.3	3.4	6.9	6.8	7.5	4.6	NA	NA	NA	NA	NA	NA	NA	NA	4.2	NA	NA	NA	2.4	NA	NA	NA	1.5	3.3	3.2	NA
Long LOCK peaks in S-PMDs	E071	13	11	11	6.8	4.7	5.4	6	6.5	6.8	4.8	NA	NA	NA	1.2	NA	NA	NA	NA	3.7	NA	NA	NA	2.6	NA	NA	NA	1.4	2.7	2.6	NA
Long LOCK peaks in S-PMDs	E066	9.6	8	7.9	6.2	2.7	2.6	6.7	7.3	4.6	5.5	3	3.5	2.8	3.2	2.8	3.5	2.8	NA	2.6	NA	NA	NA	1.7	NA	NA	NA	1	NA	NA	NA
Long LOCK peaks in S-PMDs	E034	11	9.2	9.1	6	5.1	3.8	4.6	4.3	5.2	4.6	1.5	1.7	1.6	2.1	1.7	1.3	1.8	NA	2.6	NA	NA	NA	2.7	NA	NA	NA	NA	2	2	NA
Long LOCK peaks in S-PMDs	E101	11	9.4	9.3	4.8	5.2	6.3	4.1	4.5	5.2	3.4	1.1	1.3	1.5	2.1	1.6	1.3	1.5	NA	2.8	NA	NA	NA	2.3	NA	NA	NA	NA	2.1	2.1	NA
Long LOCK peaks in S-PMDs	E083	16	14	14	5.3	2.3	1.8	6	6.4	5.5	4	NA	NA	NA	NA	NA	NA	NA	NA	3.9	NA	NA	NA	NA	NA	NA	NA	NA	1.4	1.4	NA
Long LOCK peaks in S-PMDs	E078	13	11	11	6.1	3.9	3.4	5.4	5.3	6.9	3.8	NA	NA	NA	NA	NA	NA	NA	NA	3.7	NA	NA	NA	3.1	NA	NA	NA	NA	2.5	2.5	NA
Long LOCK peaks in S-PMDs	E023	11	9.2	9.2	2.5	7.4	7.6	1.7	1.5	4.7	1.1	1.4	1.4	1.3	2.2	1.3	1.2	1.5	NA	3.7	NA	NA	NA	3.5	NA	NA	NA	NA	3.6	3.6	NA
Long LOCK peaks in S-PMDs	E009	11	8.9	8.8	4.5	4.7	5.7	4.4	3.5	4.8	3.7	1.6	1.8	1.4	2	1.4	1.3	1.6	NA	2.9	NA	NA	NA	2.9	NA	NA	NA	NA	1.7	1.6	NA
