EID	MD_anno	TSG_OG_anno	OgOrTsgToAllGenes
Overall	common HMD	OG	0.0522091819123231
Overall	common HMD	TSG	0.0761995167414567
Overall	common PMD	OG	0.0707660597732738
Overall	common PMD	TSG	0.0291995877705256
Overall	S	OG	0.0519242516799023
Overall	S	TSG	0.0268784361637141
Overall	I	OG	0.0621230398069964
Overall	I	TSG	0.0235223160434258
Overall	L	OG	0.0884920634920635
Overall	L	TSG	0.0341269841269841
E004	common HMD	OG	0.0483221476510067
E004	common HMD	TSG	0.0721849366144668
E005	common HMD	OG	0.0463538722442058
E005	common HMD	TSG	0.064631618616921
E006	common HMD	OG	0.0461278036394414
E006	common HMD	TSG	0.0660177740160812
E007	common HMD	OG	0.0527278966029967
E007	common HMD	TSG	0.075832094246826
E011	common HMD	OG	0.0461506188378435
E011	common HMD	TSG	0.0683868260960772
E012	common HMD	OG	0.0414496036240091
E012	common HMD	TSG	0.0636466591166478
E013	common HMD	OG	0.0413564929693962
E013	common HMD	TSG	0.0601736972704715
E027	common HMD	OG	0.0473933649289099
E027	common HMD	TSG	0.0473933649289099
E028	common HMD	OG	0.0355172413793103
E028	common HMD	TSG	0.0582758620689655
E037	common HMD	OG	0.0490093847758081
E037	common HMD	TSG	0.071503053776255
E038	common HMD	OG	0.0527708850289495
E038	common HMD	TSG	0.0734491315136476
E047	common HMD	OG	0.0543394282771053
E047	common HMD	TSG	0.0754571207828998
E050	common HMD	OG	0.0484330484330484
E050	common HMD	TSG	0.0641025641025641
E053	common HMD	OG	0.0392156862745098
E053	common HMD	TSG	0.0642156862745098
E054	common HMD	OG	0.0419107706173952
E054	common HMD	TSG	0.0621901757548445
E055	common HMD	OG	0.0431068732618196
E055	common HMD	TSG	0.0617798967024235
E056	common HMD	OG	0.0362790697674419
E056	common HMD	TSG	0.052093023255814
E057	common HMD	OG	0.045525494276795
E057	common HMD	TSG	0.0668574401664932
E058	common HMD	OG	0.0442499392171165
E058	common HMD	TSG	0.0612691466083151
E059	common HMD	OG	0.0395421436004162
E059	common HMD	TSG	0.0707596253902185
E061	common HMD	OG	0.0436427116671516
E061	common HMD	TSG	0.0666278731451848
E062	common HMD	OG	0.0495363591996096
E062	common HMD	TSG	0.0651537335285505
E065	common HMD	OG	0.0578393881453155
E065	common HMD	TSG	0.0688336520076482
E066	common HMD	OG	0.0489130434782609
E066	common HMD	TSG	0.0634057971014493
E070	common HMD	OG	0.0404551201011378
E070	common HMD	TSG	0.0632111251580278
E071	common HMD	OG	0.0366524129505192
E071	common HMD	TSG	0.0555894929749542
E079	common HMD	OG	0.0561056105610561
E079	common HMD	TSG	0.0695819581958196
