EID	value	MD_anno	group
E004	0.635294117647059	S	OG
E005	0.517647058823529	S	OG
E006	0.376470588235294	S	OG
E007	0.694117647058824	S	OG
E011	0.529411764705882	S	OG
E012	0.458823529411765	S	OG
E013	0.658823529411765	S	OG
E027	0.294117647058824	S	OG
E028	0.564705882352941	S	OG
E037	0.752941176470588	S	OG
E038	0.764705882352941	S	OG
E047	0.752941176470588	S	OG
E050	0.294117647058824	S	OG
E053	0.388235294117647	S	OG
E054	0.4	S	OG
E055	0.505882352941176	S	OG
E056	0.388235294117647	S	OG
E057	0.388235294117647	S	OG
E058	0.611764705882353	S	OG
E059	0.341176470588235	S	OG
E061	0.623529411764706	S	OG
E062	0.752941176470588	S	OG
E065	0.588235294117647	S	OG
E066	0.517647058823529	S	OG
E070	0.517647058823529	S	OG
E071	0.505882352941176	S	OG
E079	0.705882352941177	S	OG
E082	0.4	S	OG
E084	0.505882352941176	S	OG
E085	0.670588235294118	S	OG
E087	0.352941176470588	S	OG
E094	0.788235294117647	S	OG
E095	0.517647058823529	S	OG
E096	0.482352941176471	S	OG
E097	0.470588235294118	S	OG
E098	0.8	S	OG
E100	0.517647058823529	S	OG
E104	0.376470588235294	S	OG
E105	0.4	S	OG
E106	0.729411764705882	S	OG
E109	0.647058823529412	S	OG
E112	0.4	S	OG
E113	0.611764705882353	S	OG
E116	0.588235294117647	S	OG
E119	0.705882352941177	S	OG
E120	0.623529411764706	S	OG
E122	0.647058823529412	S	OG
E127	0.611764705882353	S	OG
E128	0.541176470588235	S	OG
E004	0.514563106796116	I	OG
E005	0.475728155339806	I	OG
E006	0.184466019417476	I	OG
E007	0.737864077669903	I	OG
E011	0.436893203883495	I	OG
E012	0.271844660194175	I	OG
E013	0.514563106796116	I	OG
E027	0.310679611650485	I	OG
E028	0.339805825242718	I	OG
E037	0.533980582524272	I	OG
E038	0.699029126213592	I	OG
E047	0.747572815533981	I	OG
E050	0.359223300970874	I	OG
E053	0.194174757281553	I	OG
E054	0.194174757281553	I	OG
E055	0.242718446601942	I	OG
E056	0.155339805825243	I	OG
E057	0.233009708737864	I	OG
E058	0.427184466019417	I	OG
E059	0.203883495145631	I	OG
E061	0.504854368932039	I	OG
E062	0.495145631067961	I	OG
E065	0.718446601941748	I	OG
E066	0.524271844660194	I	OG
E070	0.223300970873786	I	OG
E071	0.368932038834951	I	OG
E079	0.524271844660194	I	OG
E082	0.262135922330097	I	OG
E084	0.407766990291262	I	OG
E085	0.388349514563107	I	OG
E087	0.349514563106796	I	OG
E094	0.844660194174757	I	OG
E095	0.524271844660194	I	OG
E096	0.378640776699029	I	OG
E097	0.533980582524272	I	OG
E098	0.718446601941748	I	OG
E100	0.466019417475728	I	OG
E104	0.436893203883495	I	OG
E105	0.252427184466019	I	OG
E106	0.563106796116505	I	OG
E109	0.524271844660194	I	OG
E112	0.233009708737864	I	OG
E113	0.485436893203884	I	OG
E116	0.320388349514563	I	OG
E119	0.640776699029126	I	OG
E120	0.398058252427184	I	OG
E122	0.359223300970874	I	OG
E127	0.398058252427184	I	OG
E128	0.194174757281553	I	OG
E004	0.322869955156951	L	OG
E005	0.219730941704036	L	OG
E006	0.062780269058296	L	OG
E007	0.591928251121076	L	OG
E011	0.255605381165919	L	OG
E012	0.0852017937219731	L	OG
E013	0.269058295964126	L	OG
E027	0.197309417040359	L	OG
E028	0.143497757847534	L	OG
E037	0.278026905829596	L	OG
E038	0.390134529147982	L	OG
E047	0.426008968609865	L	OG
E050	0.134529147982063	L	OG
E053	0.0762331838565022	L	OG
E054	0.0582959641255605	L	OG
E055	0.0538116591928251	L	OG
E056	0.0358744394618834	L	OG
E057	0.0852017937219731	L	OG
E058	0.20627802690583	L	OG
E059	0.0672645739910314	L	OG
E061	0.457399103139013	L	OG
E062	0.219730941704036	L	OG
E065	0.650224215246637	L	OG
E066	0.515695067264574	L	OG
E070	0.0807174887892377	L	OG
E071	0.15695067264574	L	OG
E079	0.322869955156951	L	OG
E082	0.0762331838565022	L	OG
E084	0.147982062780269	L	OG
E085	0.197309417040359	L	OG
E087	0.26457399103139	L	OG
E094	0.798206278026906	L	OG
E095	0.336322869955157	L	OG
E096	0.233183856502242	L	OG
E097	0.381165919282511	L	OG
E098	0.807174887892377	L	OG
E100	0.242152466367713	L	OG
E104	0.31390134529148	L	OG
E105	0.125560538116592	L	OG
E106	0.336322869955157	L	OG
E109	0.255605381165919	L	OG
E112	0.0448430493273543	L	OG
E113	0.2152466367713	L	OG
E116	0.15695067264574	L	OG
E119	0.417040358744395	L	OG
E120	0.20627802690583	L	OG
E122	0.188340807174888	L	OG
E127	0.143497757847534	L	OG
E128	0.0538116591928251	L	OG
