EID	LOCK_length	TSG_OG_anno	exp	gene_number	gene_number_with_exp	group	MD_anno
E004	LOCK	OG	1.00196196646417	324	322	OG__Long_LOCK	commonHMD
E004	LOCK	TSG	1.00326615761848	484	478	TSG__Long_LOCK	commonHMD
E004	non-LOCK	OG	1.04229980741363	280	275	OG__outside_of_LOCK	commonHMD
E004	non-LOCK	TSG	1.08455655142401	399	394	TSG__outside_of_LOCK	commonHMD
E005	LOCK	OG	0.918082784642187	246	245	OG__Long_LOCK	commonHMD
E005	LOCK	TSG	0.984374208731471	343	340	TSG__Long_LOCK	commonHMD
E005	non-LOCK	OG	0.995284098812671	356	350	OG__outside_of_LOCK	commonHMD
E005	non-LOCK	TSG	1.01728382156002	537	529	TSG__outside_of_LOCK	commonHMD
E006	LOCK	OG	0.78060530583897	109	107	OG__Long_LOCK	commonHMD
E006	LOCK	TSG	0.878299578708319	156	154	TSG__Long_LOCK	commonHMD
E006	non-LOCK	OG	0.976991523578451	491	486	OG__outside_of_LOCK	commonHMD
E006	non-LOCK	TSG	0.964165310621735	720	711	TSG__outside_of_LOCK	commonHMD
E007	LOCK	OG	1.06197994707488	461	457	OG__Long_LOCK	commonHMD
E007	LOCK	TSG	1.05986622041094	663	657	TSG__Long_LOCK	commonHMD
E007	non-LOCK	OG	1.05530519885517	143	140	OG__outside_of_LOCK	commonHMD
E007	non-LOCK	TSG	1.12728376343964	219	214	TSG__outside_of_LOCK	commonHMD
E011	LOCK	OG	1.03370515146785	220	219	OG__Long_LOCK	commonHMD
E011	LOCK	TSG	1.07844021671576	326	322	TSG__Long_LOCK	commonHMD
E011	non-LOCK	OG	1.10040501156589	383	377	OG__outside_of_LOCK	commonHMD
E011	non-LOCK	TSG	1.09931663853441	553	546	TSG__outside_of_LOCK	commonHMD
E012	LOCK	OG	1.07886052574349	183	182	OG__Long_LOCK	commonHMD
E012	LOCK	TSG	1.07786465596266	281	278	TSG__Long_LOCK	commonHMD
E012	non-LOCK	OG	1.09361304514863	420	414	OG__outside_of_LOCK	commonHMD
E012	non-LOCK	TSG	1.1011450928179	600	592	TSG__outside_of_LOCK	commonHMD
E013	LOCK	OG	1.00306766313333	200	198	OG__Long_LOCK	commonHMD
E013	LOCK	TSG	1.02555162278254	291	287	TSG__Long_LOCK	commonHMD
E013	non-LOCK	OG	1.083215862156	400	395	OG__outside_of_LOCK	commonHMD
E013	non-LOCK	TSG	1.08477263330209	583	576	TSG__outside_of_LOCK	commonHMD
E027	LOCK	OG	-0.0130822268482243	10	10	OG__Long_LOCK	commonHMD
E027	LOCK	TSG	0.181772804303877	10	10	TSG__Long_LOCK	commonHMD
E027	non-LOCK	OG	0.968832994131401	589	582	OG__outside_of_LOCK	commonHMD
E027	non-LOCK	TSG	1.0091532569614	867	856	TSG__outside_of_LOCK	commonHMD
E028	LOCK	OG	0.790285164033242	103	103	OG__Long_LOCK	commonHMD
E028	LOCK	TSG	1.00414755024905	169	166	TSG__Long_LOCK	commonHMD
E028	non-LOCK	OG	1.0705917416859	489	482	OG__outside_of_LOCK	commonHMD
E028	non-LOCK	TSG	1.03265814180247	704	696	TSG__outside_of_LOCK	commonHMD
E037	LOCK	OG	1.0087879633904	329	324	OG__Long_LOCK	commonHMD
E037	LOCK	TSG	1.04832525093122	480	471	TSG__Long_LOCK	commonHMD
E037	non-LOCK	OG	1.01723019231247	276	274	OG__outside_of_LOCK	commonHMD
E037	non-LOCK	TSG	1.14185722323837	403	401	TSG__outside_of_LOCK	commonHMD
E038	LOCK	OG	0.908163200055548	319	315	OG__Long_LOCK	commonHMD
E038	LOCK	TSG	0.967501174722841	444	437	TSG__Long_LOCK	commonHMD
E038	non-LOCK	OG	1.1231326643109	286	283	OG__outside_of_LOCK	commonHMD
E038	non-LOCK	TSG	1.1854553678383	438	434	TSG__outside_of_LOCK	commonHMD
E047	LOCK	OG	0.834229902851677	211	209	OG__Long_LOCK	commonHMD
E047	LOCK	TSG	0.926753905189737	293	289	TSG__Long_LOCK	commonHMD
E047	non-LOCK	OG	1.09558774691874	392	387	OG__outside_of_LOCK	commonHMD
E047	non-LOCK	TSG	1.1507822967616	585	578	TSG__outside_of_LOCK	commonHMD
E050	LOCK	OG	0.68403703748652	68	67	OG__Long_LOCK	commonHMD
E050	LOCK	TSG	0.837840861655523	90	89	TSG__Long_LOCK	commonHMD
E050	non-LOCK	OG	1.12181806337041	526	520	OG__outside_of_LOCK	commonHMD
E050	non-LOCK	TSG	1.16697744130484	780	770	TSG__outside_of_LOCK	commonHMD
E053	LOCK	OG	0.780757259252492	80	80	OG__Long_LOCK	commonHMD
E053	LOCK	TSG	0.932980821923198	131	129	TSG__Long_LOCK	commonHMD
E053	non-LOCK	OG	1.03955287593358	521	514	OG__outside_of_LOCK	commonHMD
E053	non-LOCK	TSG	1.04155058171765	748	739	TSG__outside_of_LOCK	commonHMD
E054	LOCK	OG	0.946992340748372	93	93	OG__Long_LOCK	commonHMD
E054	LOCK	TSG	1.01045496860313	138	136	TSG__Long_LOCK	commonHMD
E054	non-LOCK	OG	1.05407655729051	508	501	OG__outside_of_LOCK	commonHMD
E054	non-LOCK	TSG	1.05174888023144	741	732	TSG__outside_of_LOCK	commonHMD
