EID	LOCK_length	TSG_OG_anno	exp	gene_number	gene_number_with_exp	group	MD_anno
E004	LOCK	OG	-0.40340290437354	179	179	OG__Long_LOCK	commonPMD
E004	LOCK	TSG	-0.252276399938708	71	70	TSG__Long_LOCK	commonPMD
E004	non-LOCK	OG	-0.394694953858891	229	229	OG__outside_of_LOCK	commonPMD
E004	non-LOCK	TSG	-0.305394801066431	99	97	TSG__outside_of_LOCK	commonPMD
E005	LOCK	OG	-0.617986696153981	142	142	OG__Long_LOCK	commonPMD
E005	LOCK	TSG	-0.522878745280338	55	55	TSG__Long_LOCK	commonPMD
E005	non-LOCK	OG	-0.642065152999546	265	265	OG__outside_of_LOCK	commonPMD
E005	non-LOCK	TSG	-0.560667306169737	114	111	TSG__outside_of_LOCK	commonPMD
E006	LOCK	OG	-0.96657624451305	65	65	OG__Long_LOCK	commonPMD
E006	LOCK	TSG	-0.728158393463501	25	25	TSG__Long_LOCK	commonPMD
E006	non-LOCK	OG	-0.825555638464281	342	342	OG__outside_of_LOCK	commonPMD
E006	non-LOCK	TSG	-0.720357975414435	139	136	TSG__outside_of_LOCK	commonPMD
E007	LOCK	OG	-0.440256582217682	268	268	OG__Long_LOCK	commonPMD
E007	LOCK	TSG	-0.517126416391246	112	111	TSG__Long_LOCK	commonPMD
E007	non-LOCK	OG	-0.406719585573963	144	144	OG__outside_of_LOCK	commonPMD
E007	non-LOCK	TSG	-0.249491605148654	57	55	TSG__outside_of_LOCK	commonPMD
E011	LOCK	OG	-0.16273016888516	148	148	OG__Long_LOCK	commonPMD
E011	LOCK	TSG	-0.125829998259733	63	62	TSG__Long_LOCK	commonPMD
E011	non-LOCK	OG	-0.0310240152516673	256	256	OG__outside_of_LOCK	commonPMD
E011	non-LOCK	TSG	-0.0770189767821746	104	102	TSG__outside_of_LOCK	commonPMD
E012	LOCK	OG	-0.16648470266712	86	86	OG__Long_LOCK	commonPMD
E012	LOCK	TSG	-0.394694953858891	39	39	TSG__Long_LOCK	commonPMD
E012	non-LOCK	OG	-0.212541836991015	324	324	OG__outside_of_LOCK	commonPMD
E012	non-LOCK	TSG	-0.183758700008217	128	125	TSG__outside_of_LOCK	commonPMD
E013	LOCK	OG	-0.340617839220898	170	170	OG__Long_LOCK	commonPMD
E013	LOCK	TSG	-0.230662873348413	64	64	TSG__Long_LOCK	commonPMD
E013	non-LOCK	OG	0.0280451786661121	234	234	OG__outside_of_LOCK	commonPMD
E013	non-LOCK	TSG	-0.0186344909214556	102	101	TSG__outside_of_LOCK	commonPMD
E027	LOCK	OG	-0.958607314841775	101	101	OG__Long_LOCK	commonPMD
E027	LOCK	TSG	-0.801769554246462	36	36	TSG__Long_LOCK	commonPMD
E027	non-LOCK	OG	-0.643974142806877	301	301	OG__outside_of_LOCK	commonPMD
E027	non-LOCK	TSG	-0.635571607421248	131	128	TSG__outside_of_LOCK	commonPMD
E028	LOCK	OG	-0.954677021213343	115	115	OG__Long_LOCK	commonPMD
E028	LOCK	TSG	-0.758506071702476	50	50	TSG__Long_LOCK	commonPMD
E028	non-LOCK	OG	-0.950781977329818	291	291	OG__outside_of_LOCK	commonPMD
E028	non-LOCK	TSG	-0.889410289700751	116	113	TSG__outside_of_LOCK	commonPMD
E037	LOCK	OG	-0.948851766923199	182	182	OG__Long_LOCK	commonPMD
E037	LOCK	TSG	-0.84163750790475	87	85	TSG__Long_LOCK	commonPMD
E037	non-LOCK	OG	-0.995678626217357	225	225	OG__outside_of_LOCK	commonPMD
E037	non-LOCK	TSG	-0.976791441508005	83	82	TSG__outside_of_LOCK	commonPMD
E038	LOCK	OG	-0.978810700930062	225	225	OG__Long_LOCK	commonPMD
E038	LOCK	TSG	-0.889410289700751	106	103	TSG__Long_LOCK	commonPMD
E038	non-LOCK	OG	-0.989281301766455	184	184	OG__outside_of_LOCK	commonPMD
E038	non-LOCK	TSG	-0.98296666070122	61	61	TSG__outside_of_LOCK	commonPMD
E047	LOCK	OG	-0.962573502059376	237	237	OG__Long_LOCK	commonPMD
E047	LOCK	TSG	-0.886056647693163	90	89	TSG__Long_LOCK	commonPMD
E047	non-LOCK	OG	-1	169	169	OG__outside_of_LOCK	commonPMD
E047	non-LOCK	TSG	-0.978810700930062	77	75	TSG__outside_of_LOCK	commonPMD
E050	LOCK	OG	-0.978810700930062	93	93	OG__Long_LOCK	commonPMD
E050	LOCK	TSG	-0.931814138253838	35	35	TSG__Long_LOCK	commonPMD
E050	non-LOCK	OG	-0.8843926760187	306	306	OG__outside_of_LOCK	commonPMD
E050	non-LOCK	TSG	-0.809668301829709	130	127	TSG__outside_of_LOCK	commonPMD
E053	LOCK	OG	-0.863383582978477	70	70	OG__Long_LOCK	commonPMD
E053	LOCK	TSG	-0.87942606879415	35	35	TSG__Long_LOCK	commonPMD
E053	non-LOCK	OG	-0.289923069762701	336	336	OG__outside_of_LOCK	commonPMD
E053	non-LOCK	TSG	-0.504455662453552	127	124	TSG__outside_of_LOCK	commonPMD
E054	LOCK	OG	-0.75448733218585	67	67	OG__Long_LOCK	commonPMD
E054	LOCK	TSG	-0.928117992693875	35	35	TSG__Long_LOCK	commonPMD
E054	non-LOCK	OG	-0.193820026016113	340	340	OG__outside_of_LOCK	commonPMD
E054	non-LOCK	TSG	-0.218244625347531	128	125	TSG__outside_of_LOCK	commonPMD
E055	LOCK	OG	-0.906705454363796	80	80	OG__Long_LOCK	commonPMD
E055	LOCK	TSG	-0.812479279163537	44	43	TSG__Long_LOCK	commonPMD
E055	non-LOCK	OG	-0.808271851737624	324	324	OG__outside_of_LOCK	commonPMD
E055	non-LOCK	TSG	-0.826813731587726	121	119	TSG__outside_of_LOCK	commonPMD
E056	LOCK	OG	-0.950781977329818	57	57	OG__Long_LOCK	commonPMD
E056	LOCK	TSG	-0.635421656445902	34	34	TSG__Long_LOCK	commonPMD
E056	non-LOCK	OG	-0.861700173221178	346	346	OG__outside_of_LOCK	commonPMD
E056	non-LOCK	TSG	-0.906578314837765	131	128	TSG__outside_of_LOCK	commonPMD
E057	LOCK	OG	-0.98296666070122	76	76	OG__Long_LOCK	commonPMD
E057	LOCK	TSG	-0.866461091629782	31	31	TSG__Long_LOCK	commonPMD
E057	non-LOCK	OG	-0.954677021213343	331	331	OG__outside_of_LOCK	commonPMD
E057	non-LOCK	TSG	-0.966594862187083	135	132	TSG__outside_of_LOCK	commonPMD
E058	LOCK	OG	-0.97061622231479	142	142	OG__Long_LOCK	commonPMD
E058	LOCK	TSG	-0.871785458848376	56	56	TSG__Long_LOCK	commonPMD
E058	non-LOCK	OG	-0.872895201635192	260	260	OG__outside_of_LOCK	commonPMD
E058	non-LOCK	TSG	-0.903145583802323	111	108	TSG__outside_of_LOCK	commonPMD
E059	LOCK	OG	-0.958607314841775	65	65	OG__Long_LOCK	commonPMD
E059	LOCK	TSG	-0.809668301829709	25	25	TSG__Long_LOCK	commonPMD
E059	non-LOCK	OG	-0.911867528942927	338	338	OG__outside_of_LOCK	commonPMD
E059	non-LOCK	TSG	-0.876148359032914	137	134	TSG__outside_of_LOCK	commonPMD
E061	LOCK	OG	-0.987162775294828	208	208	OG__Long_LOCK	commonPMD
E061	LOCK	TSG	-0.978810700930062	86	84	TSG__Long_LOCK	commonPMD
E061	non-LOCK	OG	-0.476378146937963	200	200	OG__outside_of_LOCK	commonPMD
E061	non-LOCK	TSG	-0.426066036033898	82	82	TSG__outside_of_LOCK	commonPMD
E062	LOCK	OG	-0.920818753952375	165	165	OG__Long_LOCK	commonPMD
E062	LOCK	TSG	-0.866461091629782	71	70	TSG__Long_LOCK	commonPMD
E062	non-LOCK	OG	-0.97469413473523	239	239	OG__outside_of_LOCK	commonPMD
E062	non-LOCK	TSG	-0.85556252708236	96	94	TSG__outside_of_LOCK	commonPMD
E065	LOCK	OG	-0.787812395596042	269	269	OG__Long_LOCK	commonPMD
E065	LOCK	TSG	-0.707743928643524	117	115	TSG__Long_LOCK	commonPMD
E065	non-LOCK	OG	0.397244581010386	141	141	OG__outside_of_LOCK	commonPMD
E065	non-LOCK	TSG	0.54703589974001	52	51	TSG__outside_of_LOCK	commonPMD
E066	LOCK	OG	-0.84163750790475	213	213	OG__Long_LOCK	commonPMD
E066	LOCK	TSG	-0.70254970619156	86	86	TSG__Long_LOCK	commonPMD
E066	non-LOCK	OG	-0.24033215531037	196	196	OG__outside_of_LOCK	commonPMD
E066	non-LOCK	TSG	-0.15864233296634	83	80	TSG__outside_of_LOCK	commonPMD
E070	LOCK	OG	-0.176525770829699	85	85	OG__Long_LOCK	commonPMD
E070	LOCK	TSG	-0.697886973457765	42	42	TSG__Long_LOCK	commonPMD
E070	non-LOCK	OG	0.130333649346967	322	322	OG__outside_of_LOCK	commonPMD
E070	non-LOCK	TSG	0.228656958108935	124	121	TSG__outside_of_LOCK	commonPMD
E071	LOCK	OG	0.0447197479869475	116	116	OG__Long_LOCK	commonPMD
E071	LOCK	TSG	-0.260427655549908	48	47	TSG__Long_LOCK	commonPMD
E071	non-LOCK	OG	0.465680211598278	289	289	OG__outside_of_LOCK	commonPMD
E071	non-LOCK	TSG	0.432675367733762	116	114	TSG__outside_of_LOCK	commonPMD
E079	LOCK	OG	-0.357246099442225	186	186	OG__Long_LOCK	commonPMD
E079	LOCK	TSG	-0.0510982390297863	69	69	TSG__Long_LOCK	commonPMD
E079	non-LOCK	OG	-0.1944991418416	221	221	OG__outside_of_LOCK	commonPMD
E079	non-LOCK	TSG	-0.18111458540599	98	95	TSG__outside_of_LOCK	commonPMD
E082	LOCK	OG	-0.596063433998334	78	78	OG__Long_LOCK	commonPMD
E082	LOCK	TSG	-0.756961951313706	39	39	TSG__Long_LOCK	commonPMD
E082	non-LOCK	OG	0.348694190265541	327	327	OG__outside_of_LOCK	commonPMD
E082	non-LOCK	TSG	0.0934216851622351	126	123	TSG__outside_of_LOCK	commonPMD
E084	LOCK	OG	0.0440368438114017	118	118	OG__Long_LOCK	commonPMD
E084	LOCK	TSG	0.235275876687052	55	55	TSG__Long_LOCK	commonPMD
E084	non-LOCK	OG	0.101747073946366	281	281	OG__outside_of_LOCK	commonPMD
E084	non-LOCK	TSG	0.193958978019187	112	109	TSG__outside_of_LOCK	commonPMD
E085	LOCK	OG	-0.274088367704952	141	141	OG__Long_LOCK	commonPMD
E085	LOCK	TSG	-0.171984935776023	57	57	TSG__Long_LOCK	commonPMD
E085	non-LOCK	OG	-0.193141970481183	261	261	OG__outside_of_LOCK	commonPMD
E085	non-LOCK	TSG	-0.099086932262331	110	107	TSG__outside_of_LOCK	commonPMD
E087	LOCK	OG	-0.515700160653214	125	125	OG__Long_LOCK	commonPMD
E087	LOCK	TSG	-0.408935392973501	50	49	TSG__Long_LOCK	commonPMD
E087	non-LOCK	OG	0.253095585849032	277	277	OG__outside_of_LOCK	commonPMD
E087	non-LOCK	TSG	0.152626229720381	118	116	TSG__outside_of_LOCK	commonPMD
E094	LOCK	OG	-0.497572880015567	333	333	OG__Long_LOCK	commonPMD
E094	LOCK	TSG	-0.283996656365201	136	135	TSG__Long_LOCK	commonPMD
E094	non-LOCK	OG	-0.298613183138655	78	78	OG__outside_of_LOCK	commonPMD
E094	non-LOCK	TSG	-0.265878042673902	32	30	TSG__outside_of_LOCK	commonPMD
E095	LOCK	OG	-0.855428582033833	174	174	OG__Long_LOCK	commonPMD
E095	LOCK	TSG	-0.84163750790475	66	65	TSG__Long_LOCK	commonPMD
E095	non-LOCK	OG	-0.18588321093802	230	230	OG__outside_of_LOCK	commonPMD
E095	non-LOCK	TSG	-0.128735624374624	100	98	TSG__outside_of_LOCK	commonPMD
E096	LOCK	OG	-0.555024371359006	132	132	OG__Long_LOCK	commonPMD
E096	LOCK	TSG	-0.229147988357856	49	49	TSG__Long_LOCK	commonPMD
E096	non-LOCK	OG	-0.293709252689661	274	274	OG__outside_of_LOCK	commonPMD
E096	non-LOCK	TSG	-0.382999658879101	118	115	TSG__outside_of_LOCK	commonPMD
E097	LOCK	OG	-0.578396073130169	181	181	OG__Long_LOCK	commonPMD
E097	LOCK	TSG	-0.581698708680255	81	81	TSG__Long_LOCK	commonPMD
E097	non-LOCK	OG	-0.0798195887146121	226	226	OG__outside_of_LOCK	commonPMD
E097	non-LOCK	TSG	0.101272492080544	89	86	TSG__outside_of_LOCK	commonPMD
