EID	group	TSG_OG_anno	exp	MD_anno
E004	OG__Long_LOCK	OG	-0.0767077485509769	Within S
E004	OG__outside_of_LOCK	OG	-0.625251653989896	Within S
E005	OG__Long_LOCK	OG	-0.609992643461916	Within S
E005	OG__outside_of_LOCK	OG	-0.20342566678957	Within S
E006	OG__Long_LOCK	OG	-0.956642168027559	Within S
E006	OG__outside_of_LOCK	OG	0.286498962020101	Within S
E007	OG__Long_LOCK	OG	-0.216096420727265	Within S
E007	OG__outside_of_LOCK	OG	-0.380613249139652	Within S
E011	OG__Long_LOCK	OG	-0.161150909262745	Within S
E011	OG__outside_of_LOCK	OG	0.531861949095809	Within S
E012	OG__Long_LOCK	OG	0.0119931146592569	Within S
E012	OG__outside_of_LOCK	OG	-0.153459409349075	Within S
E013	OG__Long_LOCK	OG	-0.349409013930842	Within S
E013	OG__outside_of_LOCK	OG	0.990823242788467	Within S
E027	OG__Long_LOCK	OG	-0.920818753952375	Within S
E027	OG__outside_of_LOCK	OG	-0.256149481221958	Within S
E028	OG__Long_LOCK	OG	-0.922635896279922	Within S
E028	OG__outside_of_LOCK	OG	-0.417475820201826	Within S
E037	OG__Long_LOCK	OG	-0.908507516498209	Within S
E037	OG__outside_of_LOCK	OG	-0.749579997691106	Within S
E038	OG__Long_LOCK	OG	-0.943095148663527	Within S
E038	OG__outside_of_LOCK	OG	-0.821023052706831	Within S
E047	OG__Long_LOCK	OG	-0.939302159646388	Within S
E047	OG__outside_of_LOCK	OG	-0.505845405981557	Within S
E050	OG__Long_LOCK	OG	-0.889410289700751	Within S
E050	OG__outside_of_LOCK	OG	-0.723538195826756	Within S
E053	OG__Long_LOCK	OG	-0.835647144215563	Within S
E053	OG__outside_of_LOCK	OG	-0.254144804826271	Within S
E054	OG__Long_LOCK	OG	-0.70573529741953	Within S
E054	OG__outside_of_LOCK	OG	-0.210419287835575	Within S
E055	OG__Long_LOCK	OG	-0.896196279044043	Within S
E055	OG__outside_of_LOCK	OG	0.504206181331248	Within S
E056	OG__Long_LOCK	OG	-0.853871964321762	Within S
E056	OG__outside_of_LOCK	OG	-0.0296531237699067	Within S
E057	OG__Long_LOCK	OG	-0.991399828238082	Within S
E057	OG__outside_of_LOCK	OG	-0.760918843647122	Within S
E058	OG__Long_LOCK	OG	-0.985064717998024	Within S
E058	OG__outside_of_LOCK	OG	-0.033655838928551	Within S
E059	OG__Long_LOCK	OG	-0.939302159646388	Within S
E059	OG__outside_of_LOCK	OG	-0.644012072824122	Within S
E061	OG__Long_LOCK	OG	-0.987162775294828	Within S
E061	OG__outside_of_LOCK	OG	-0.0688910641694506	Within S
E062	OG__Long_LOCK	OG	-0.83133028030579	Within S
E062	OG__outside_of_LOCK	OG	-0.407823242604133	Within S
E065	OG__Long_LOCK	OG	-0.44551464156026	Within S
E065	OG__outside_of_LOCK	OG	0.963410015680229	Within S
E066	OG__Long_LOCK	OG	-0.896196279044043	Within S
E066	OG__outside_of_LOCK	OG	0.468790262099611	Within S
E070	OG__Long_LOCK	OG	-0.39919630393899	Within S
E070	OG__outside_of_LOCK	OG	0.0689276116820719	Within S
E071	OG__Long_LOCK	OG	-0.0570004066339595	Within S
E071	OG__outside_of_LOCK	OG	0.389227719747743	Within S
E079	OG__Long_LOCK	OG	-0.349246271480782	Within S
E079	OG__outside_of_LOCK	OG	0.788311262660651	Within S
E082	OG__Long_LOCK	OG	-0.766173752713067	Within S
E082	OG__outside_of_LOCK	OG	0.166726055580052	Within S
E084	OG__Long_LOCK	OG	0.0715138050950892	Within S
E084	OG__outside_of_LOCK	OG	0.559026078772905	Within S
E085	OG__Long_LOCK	OG	-0.195179321278838	Within S
E085	OG__outside_of_LOCK	OG	0.546554335109059	Within S
E087	OG__Long_LOCK	OG	-0.503922144478692	Within S
E087	OG__outside_of_LOCK	OG	0.56913972547246	Within S
E094	OG__Long_LOCK	OG	-0.498940737782248	Within S
E094	OG__outside_of_LOCK	OG	0.557146142318363	Within S
E095	OG__Long_LOCK	OG	-0.579213907448863	Within S
E095	OG__outside_of_LOCK	OG	0.677333065056327	Within S
E096	OG__Long_LOCK	OG	-0.623423042943488	Within S
E096	OG__outside_of_LOCK	OG	0.43547149269194	Within S
E097	OG__Long_LOCK	OG	-0.426093845119029	Within S
E097	OG__outside_of_LOCK	OG	0.765891976430015	Within S
E098	OG__Long_LOCK	OG	0.174347095132771	Within S
E098	OG__outside_of_LOCK	OG	0.642709066228421	Within S
E100	OG__Long_LOCK	OG	-0.802739138662543	Within S
E100	OG__outside_of_LOCK	OG	0.256477206241677	Within S
E104	OG__Long_LOCK	OG	-0.629030461135401	Within S
E104	OG__outside_of_LOCK	OG	0.654946226584344	Within S
E105	OG__Long_LOCK	OG	-0.948954737244082	Within S
E105	OG__outside_of_LOCK	OG	0.5530827289063	Within S
E106	OG__Long_LOCK	OG	-0.32828979441	Within S
E106	OG__outside_of_LOCK	OG	0.862548769524793	Within S
E109	OG__Long_LOCK	OG	-0.287350298372789	Within S
E109	OG__outside_of_LOCK	OG	0.768786046908014	Within S
E112	OG__Long_LOCK	OG	0.00474924355341183	Within S
E112	OG__outside_of_LOCK	OG	0.332034277027518	Within S
E113	OG__Long_LOCK	OG	-0.581977264945913	Within S
E113	OG__outside_of_LOCK	OG	0.57275546515422	Within S
E116	OG__Long_LOCK	OG	-0.962738056032524	Within S
E116	OG__outside_of_LOCK	OG	-0.913640169325252	Within S
E119	OG__Long_LOCK	OG	-0.94692155651658	Within S
E119	OG__outside_of_LOCK	OG	-0.613985917337573	Within S
E120	OG__Long_LOCK	OG	-0.87942606879415	Within S
E120	OG__outside_of_LOCK	OG	0.895588275666263	Within S
E122	OG__Long_LOCK	OG	-0.97469413473523	Within S
E122	OG__outside_of_LOCK	OG	0.445604203273598	Within S
E127	OG__Long_LOCK	OG	-0.97265517852501	Within S
E127	OG__outside_of_LOCK	OG	0.023769629298145	Within S
E128	OG__Long_LOCK	OG	-0.937422085209735	Within S
E128	OG__outside_of_LOCK	OG	0.555578072772955	Within S
E004	OG__Long_LOCK	OG	-0.647817481888638	Within I
E004	OG__outside_of_LOCK	OG	-0.540607512240769	Within I
E005	OG__Long_LOCK	OG	-0.906578314837765	Within I
E005	OG__outside_of_LOCK	OG	-0.763870503805484	Within I
E006	OG__Long_LOCK	OG	-0.98296666070122	Within I
E006	OG__outside_of_LOCK	OG	-0.97469413473523	Within I
E007	OG__Long_LOCK	OG	-0.528866964316008	Within I
E007	OG__outside_of_LOCK	OG	-0.744727494896694	Within I
E011	OG__Long_LOCK	OG	-0.300162274132754	Within I
E011	OG__outside_of_LOCK	OG	-0.257075429313977	Within I
E012	OG__Long_LOCK	OG	-0.475817947360057	Within I
E012	OG__outside_of_LOCK	OG	-0.251037138743839	Within I
E013	OG__Long_LOCK	OG	-0.362510270487489	Within I
E013	OG__outside_of_LOCK	OG	-0.441726012710047	Within I
E027	OG__Long_LOCK	OG	-0.97063518962414	Within I
E027	OG__outside_of_LOCK	OG	-0.469800301796918	Within I
E028	OG__Long_LOCK	OG	-0.943095148663527	Within I
E028	OG__outside_of_LOCK	OG	-0.96657624451305	Within I
E037	OG__Long_LOCK	OG	-0.943095148663527	Within I
E037	OG__outside_of_LOCK	OG	-1	Within I
E038	OG__Long_LOCK	OG	-0.995699914119041	Within I
E038	OG__outside_of_LOCK	OG	-0.939302159646388	Within I
E047	OG__Long_LOCK	OG	-0.987162775294828	Within I
E047	OG__outside_of_LOCK	OG	-0.835647144215563	Within I
E050	OG__Long_LOCK	OG	-1	Within I
E050	OG__outside_of_LOCK	OG	-0.882728704344236	Within I
E053	OG__Long_LOCK	OG	-0.948851766923199	Within I
E053	OG__outside_of_LOCK	OG	-0.924453038607469	Within I
E054	OG__Long_LOCK	OG	-0.952834325361452	Within I
E054	OG__outside_of_LOCK	OG	-0.7594507517174	Within I
E055	OG__Long_LOCK	OG	-0.97469413473523	Within I
E055	OG__outside_of_LOCK	OG	-0.95862526163636	Within I
E056	OG__Long_LOCK	OG	-0.970919898254085	Within I
E056	OG__outside_of_LOCK	OG	-0.96657624451305	Within I
E057	OG__Long_LOCK	OG	-0.912157135868959	Within I
E057	OG__outside_of_LOCK	OG	-0.96859623341392	Within I
E058	OG__Long_LOCK	OG	-0.96859623341392	Within I
E058	OG__outside_of_LOCK	OG	-0.846787486224656	Within I
E059	OG__Long_LOCK	OG	-0.96657624451305	Within I
E059	OG__outside_of_LOCK	OG	-0.950781977329818	Within I
E061	OG__Long_LOCK	OG	-0.991399828238082	Within I
E061	OG__outside_of_LOCK	OG	-0.550719677530144	Within I
E062	OG__Long_LOCK	OG	-0.958607314841775	Within I
E062	OG__outside_of_LOCK	OG	-0.937422085209735	Within I
E065	OG__Long_LOCK	OG	-0.823003437790258	Within I
E065	OG__outside_of_LOCK	OG	0.500648063371912	Within I
E066	OG__Long_LOCK	OG	-0.844674581760847	Within I
E066	OG__outside_of_LOCK	OG	-0.153097846883534	Within I
E070	OG__Long_LOCK	OG	-0.315154638355588	Within I
E070	OG__outside_of_LOCK	OG	-0.35359627377693	Within I
E071	OG__Long_LOCK	OG	-0.251240774589755	Within I
E071	OG__outside_of_LOCK	OG	0.311541958401195	Within I
E079	OG__Long_LOCK	OG	-0.367506134456088	Within I
E079	OG__outside_of_LOCK	OG	-0.474955192963155	Within I
E082	OG__Long_LOCK	OG	-0.692503962086787	Within I
E082	OG__outside_of_LOCK	OG	-0.0273344077338891	Within I
E084	OG__Long_LOCK	OG	4.08198443537762e-05	Within I
E084	OG__outside_of_LOCK	OG	-0.0550724973438946	Within I
E085	OG__Long_LOCK	OG	-0.656994854342357	Within I
E085	OG__outside_of_LOCK	OG	-0.30189945437661	Within I
E087	OG__Long_LOCK	OG	-0.764941823424498	Within I
E087	OG__outside_of_LOCK	OG	0.131939295210425	Within I
E094	OG__Long_LOCK	OG	-0.455931955649724	Within I
E094	OG__outside_of_LOCK	OG	-0.512394420778074	Within I
E095	OG__Long_LOCK	OG	-0.860120913598763	Within I
E095	OG__outside_of_LOCK	OG	-0.126243602569536	Within I
E096	OG__Long_LOCK	OG	-0.416801226031377	Within I
E096	OG__outside_of_LOCK	OG	-0.51505917812675	Within I
E097	OG__Long_LOCK	OG	-0.625251653989896	Within I
E097	OG__outside_of_LOCK	OG	-0.22950759883528	Within I
E098	OG__Long_LOCK	OG	-0.481685552318919	Within I
E098	OG__outside_of_LOCK	OG	-0.0936649581949094	Within I
E100	OG__Long_LOCK	OG	-0.817968519648461	Within I
E100	OG__outside_of_LOCK	OG	-0.719652232803173	Within I
E104	OG__Long_LOCK	OG	-0.517126416391246	Within I
E104	OG__outside_of_LOCK	OG	-0.164943898279884	Within I
E105	OG__Long_LOCK	OG	-0.800847668548254	Within I
E105	OG__outside_of_LOCK	OG	-0.475334770317974	Within I
E106	OG__Long_LOCK	OG	-0.433738881694027	Within I
E106	OG__outside_of_LOCK	OG	-0.45990329028576	Within I
E109	OG__Long_LOCK	OG	-0.239265544504032	Within I
E109	OG__outside_of_LOCK	OG	-0.222573177610689	Within I
E112	OG__Long_LOCK	OG	-0.0109714009208498	Within I
E112	OG__outside_of_LOCK	OG	-0.386158178123931	Within I
E113	OG__Long_LOCK	OG	-0.720178331766637	Within I
E113	OG__outside_of_LOCK	OG	-0.488116639021126	Within I
E116	OG__Long_LOCK	OG	-0.87942606879415	Within I
E116	OG__outside_of_LOCK	OG	-0.95272949927158	Within I
E119	OG__Long_LOCK	OG	-0.99353922722772	Within I
E119	OG__outside_of_LOCK	OG	-0.881077386569193	Within I
E120	OG__Long_LOCK	OG	-0.97469413473523	Within I
E120	OG__outside_of_LOCK	OG	-0.960590408450576	Within I
E122	OG__Long_LOCK	OG	-0.987162775294828	Within I
E122	OG__outside_of_LOCK	OG	-0.991399828238082	Within I
E127	OG__Long_LOCK	OG	-0.96657624451305	Within I
E127	OG__outside_of_LOCK	OG	-0.924453038607469	Within I
E128	OG__Long_LOCK	OG	-0.976869509903939	Within I
E128	OG__outside_of_LOCK	OG	-0.950781977329818	Within I
E004	OG__Long_LOCK	OG	-0.318562815355894	Within L
E004	OG__outside_of_LOCK	OG	-0.286934761578133	Within L
E005	OG__Long_LOCK	OG	-0.373659632624958	Within L
E005	OG__outside_of_LOCK	OG	-0.669586226650809	Within L
E006	OG__Long_LOCK	OG	-0.928180382362728	Within L
E006	OG__outside_of_LOCK	OG	-0.812479279163537	Within L
E007	OG__Long_LOCK	OG	-0.504511081757562	Within L
E007	OG__outside_of_LOCK	OG	-0.34582345812204	Within L
E011	OG__Long_LOCK	OG	-0.115771230367396	Within L
E011	OG__outside_of_LOCK	OG	-0.121478204498793	Within L
E012	OG__Long_LOCK	OG	0.275080898456859	Within L
E012	OG__outside_of_LOCK	OG	-0.213968096574663	Within L
