gene_name	LOCK_group	MD_anno	mean_exp	index	TorN	mean_exp_winsorize
ACTRT2	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PRDM16-DT	Tumor-gain LOCKs	common PMDs	-0.957138882781796	NE2_KYSE450.T	KYSE450	-0.957138882781796
PRDM16	Tumor-gain LOCKs	common PMDs	-0.946360140740164	NE2_KYSE450.T	KYSE450	-0.946360140740164
LINC01346	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC01345	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC01777	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC01646	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
AJAP1	Tumor-gain LOCKs	common PMDs	-0.995340836465457	NE2_KYSE450.T	KYSE450	-0.995340836465457
DISP3	Shared LOCKs	common PMDs	-0.974427089587409	NE2_KYSE450.T	KYSE450	-0.974427089587409
AADACL3	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PRAMEF1	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC01784	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PRAMEF11	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
HNRNPCL1	Tumor-loss LOCKs	common PMDs	-0.893506002853388	NE2_KYSE450.T	KYSE450	-0.893506002853388
PRAMEF2	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PRAMEF4	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PRAMEF10	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PRAMEF7	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PRAMEF6	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
HNRNPCL2	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PRAMEF36P	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PRAMEF26	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
HNRNPCL4	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PRAMEF9	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PRAMEF13	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PRAMEF33	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PRAMEF15	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PRAMEF14	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PRAMEF19	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PRAMEF17	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PRAMEF20	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LRRC38	Tumor-loss LOCKs	common PMDs	-0.934792540265653	NE2_KYSE450.T	KYSE450	-0.934792540265653
KAZN-AS1	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC01654	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
IGSF21	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
IGSF21-AS1	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PLA2G5	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC01756	Shared LOCKs	common PMDs	-0.933077078548458	NE2_KYSE450.T	KYSE450	-0.933077078548458
LINC01648	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
CSMD2	Tumor-gain LOCKs	common PMDs	-0.991778942185491	NE2_KYSE450.T	KYSE450	-0.991778942185491
HMGB4	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
CSMD2-AS1	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
C1orf94	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MIR552	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
GRIK3	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MIR4255	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC01343	Shared LOCKs	common PMDs	-0.976962705909138	NE2_KYSE450.T	KYSE450	-0.976962705909138
LINC01685	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
CYP4B1	Tumor-loss LOCKs	common PMDs	0.154170886827108	NE2_KYSE450.T	KYSE450	0.154170886827108
CYP4Z2P	Tumor-loss LOCKs	common PMDs	-0.912206349705303	NE2_KYSE450.T	KYSE450	-0.912206349705303
CYP4A11	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
FYB2	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
C8A	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
C8B	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
C1orf87	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC01739	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC00466	Tumor-loss LOCKs	common PMDs	-0.947211723720169	NE2_KYSE450.T	KYSE450	-0.947211723720169
LHX8	Tumor-loss LOCKs	common PMDs	-0.713620136291906	NE2_KYSE450.T	KYSE450	-0.713620136291906
MSH4	Tumor-loss LOCKs	common PMDs	-0.572524831353836	NE2_KYSE450.T	KYSE450	-0.572524831353836
ASB17	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
ST6GALNAC3	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC02567	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
COL24A1	Tumor-loss LOCKs	common PMDs	-0.884399981910788	NE2_KYSE450.T	KYSE450	-0.884399981910788
LINC02787	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
SNORD3G	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
HFM1	Tumor-loss LOCKs	common PMDs	-0.711494777325214	NE2_KYSE450.T	KYSE450	-0.711494777325214
LINC01760	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC01650	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC01761	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC02607	Tumor-loss LOCKs	common PMDs	-0.827006724642135	NE2_KYSE450.T	KYSE450	-0.827006724642135
LINC02790	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
