PMD_length	enrichment_score	sample	tissue_type	TorN	cell_name	hisMark	all_tissue_type_names
I	5.85774086560612e-08	breastNormalVsHer2Pos.N.76NF2V.H3K27me3	breastNormalVsHer2Pos	N	76NF2V	H3K27me3	Normal vs Her2+ (BRCA)
L	1.86306472749521e-08	breastNormalVsHer2Pos.N.76NF2V.H3K27me3	breastNormalVsHer2Pos	N	76NF2V	H3K27me3	Normal vs Her2+ (BRCA)
S	1.05966300758623e-07	breastNormalVsHer2Pos.N.76NF2V.H3K27me3	breastNormalVsHer2Pos	N	76NF2V	H3K27me3	Normal vs Her2+ (BRCA)
I	5.46605709260914e-08	breastNormalVsHer2Pos.N.MCF10A.H3K27me3	breastNormalVsHer2Pos	N	MCF10A	H3K27me3	Normal vs Her2+ (BRCA)
L	3.90116972739785e-08	breastNormalVsHer2Pos.N.MCF10A.H3K27me3	breastNormalVsHer2Pos	N	MCF10A	H3K27me3	Normal vs Her2+ (BRCA)
S	7.55621803805366e-08	breastNormalVsHer2Pos.N.MCF10A.H3K27me3	breastNormalVsHer2Pos	N	MCF10A	H3K27me3	Normal vs Her2+ (BRCA)
I	7.25034995886868e-08	breastNormalVsHer2Pos.T.AU565.H3K27me3	breastNormalVsHer2Pos	T	AU565	H3K27me3	Normal vs Her2+ (BRCA)
L	4.99192215882314e-08	breastNormalVsHer2Pos.T.AU565.H3K27me3	breastNormalVsHer2Pos	T	AU565	H3K27me3	Normal vs Her2+ (BRCA)
S	6.93896451442196e-08	breastNormalVsHer2Pos.T.AU565.H3K27me3	breastNormalVsHer2Pos	T	AU565	H3K27me3	Normal vs Her2+ (BRCA)
I	5.30009084353197e-08	breastNormalVsHer2Pos.T.HCC1954.H3K27me3	breastNormalVsHer2Pos	T	HCC1954	H3K27me3	Normal vs Her2+ (BRCA)
L	8.97987061493486e-08	breastNormalVsHer2Pos.T.HCC1954.H3K27me3	breastNormalVsHer2Pos	T	HCC1954	H3K27me3	Normal vs Her2+ (BRCA)
S	1.75532856458996e-08	breastNormalVsHer2Pos.T.HCC1954.H3K27me3	breastNormalVsHer2Pos	T	HCC1954	H3K27me3	Normal vs Her2+ (BRCA)
I	5.93937691257929e-08	breastNormalVsHer2Pos.T.SKBR3.H3K27me3	breastNormalVsHer2Pos	T	SKBR3	H3K27me3	Normal vs Her2+ (BRCA)
L	3.66835158885602e-08	breastNormalVsHer2Pos.T.SKBR3.H3K27me3	breastNormalVsHer2Pos	T	SKBR3	H3K27me3	Normal vs Her2+ (BRCA)
S	9.86025336400249e-08	breastNormalVsHer2Pos.T.SKBR3.H3K27me3	breastNormalVsHer2Pos	T	SKBR3	H3K27me3	Normal vs Her2+ (BRCA)
I	5.85774086560612e-08	breastNormalVsLuminalA.N.76NF2V.H3K27me3	breastNormalVsLuminalA	N	76NF2V	H3K27me3	Normal vs Luminal A (BRCA)
L	1.86306472749521e-08	breastNormalVsLuminalA.N.76NF2V.H3K27me3	breastNormalVsLuminalA	N	76NF2V	H3K27me3	Normal vs Luminal A (BRCA)
S	1.05966300758623e-07	breastNormalVsLuminalA.N.76NF2V.H3K27me3	breastNormalVsLuminalA	N	76NF2V	H3K27me3	Normal vs Luminal A (BRCA)
