LOCK_length	density	EID
Long LOCKs	0.133822054773799	E017
Short LOCKs	0.472598149082347	E017
Long LOCKs	0.00649288703639958	E007
Short LOCKs	0.0805419155603637	E007
Long LOCKs	0.101361943510606	E009
Short LOCKs	0.405436013590034	E009
Long LOCKs	0.0961562993112578	E010
Short LOCKs	0.372358091222662	E010
Long LOCKs	0.0584462209890796	E013
Short LOCKs	0.21626389133886	E013
Long LOCKs	0.0763139075618754	E012
Short LOCKs	0.323966447839349	E012
Long LOCKs	0.0991497813601805	E011
Short LOCKs	0.527297119980038	E011
Long LOCKs	0.0209966073394691	E004
Short LOCKs	0.187512769223115	E004
Long LOCKs	0.0186644964362945	E005
Short LOCKs	0.160665703596781	E005
Long LOCKs	0.0487227179948031	E006
Short LOCKs	0.268902038132807	E006
Long LOCKs	0.0651629415871863	E062
Short LOCKs	0.368555565347669	E062
Long LOCKs	0.153349701534599	E034
Short LOCKs	0.428309497616428	E034
Long LOCKs	0.0279665735319079	E045
Short LOCKs	0.146431755210184	E045
Long LOCKs	0.0173370200460584	E033
Short LOCKs	0.309943582510578	E033
Long LOCKs	0.0664000949177527	E044
Short LOCKs	0.406214475179992	E044
Long LOCKs	0.0657012452842675	E043
Short LOCKs	0.392269736842105	E043
Long LOCKs	0.0405927600791547	E039
Short LOCKs	0.349448893909832	E039
Long LOCKs	0.0772816302823283	E041
Short LOCKs	0.447827070489889	E041
Long LOCKs	0.0478538219258789	E042
Short LOCKs	0.33007662835249	E042
Long LOCKs	0.0307071903405592	E040
Short LOCKs	0.151781802421408	E040
Long LOCKs	0.011692636531944	E037
Short LOCKs	0.104023225490652	E037
Long LOCKs	0.0125120137364968	E048
Short LOCKs	0.11250809068222	E048
Long LOCKs	0.0165432848470518	E038
Short LOCKs	0.0868267986314808	E038
Long LOCKs	0.0351078800432428	E047
Short LOCKs	0.239175315090641	E047
Long LOCKs	0.0837902090798238	E029
Short LOCKs	0.429385020017925	E029
Long LOCKs	0.00289628246381766	E031
Short LOCKs	0.146516736103254	E031
Long LOCKs	0.0311985546827724	E035
Short LOCKs	0.295140067894516	E035
Long LOCKs	0.153528449107913	E051
Short LOCKs	0.549844315469315	E051
Long LOCKs	0.139231511980128	E050
Short LOCKs	0.55657151739676	E050
Long LOCKs	0.0829012446729956	E036
Short LOCKs	0.316543130681897	E036
Long LOCKs	0.0411765807690953	E032
Short LOCKs	0.305776748226437	E032
Long LOCKs	0.0327216848362636	E046
Short LOCKs	0.333544839255499	E046
Long LOCKs	0.10766959405571	E030
Short LOCKs	0.482544861337684	E030
Long LOCKs	0.117471011699997	E026
Short LOCKs	0.466236559139785	E026
Long LOCKs	0.151901449115957	E049
Short LOCKs	0.510819672131148	E049
Long LOCKs	0.20019989742106	E025
Short LOCKs	0.522120099690121	E025
