DepMap_ID	cell_line_name	stripped_cell_line_name	CCLE_Name	alias	COSMICID	sex	source	RRID	WTSI_Master_Cell_ID	sample_collection_site	primary_or_metastasis	primary_disease	Subtype	age	Sanger_Model_ID	depmap_public_comments	lineage	lineage_subtype	lineage_sub_subtype	lineage_molecular_subtype	culture_type	tcga	ETS1	text_color
ACH-000855	KYSE-150	KYSE150	KYSE150_OESOPHAGUS		907317	Female	DSMZ	CVCL_1348	407	oesophagus	Primary	Esophageal Cancer	Squamous Cell Carcinoma	49	SIDM01031		esophagus	esophagus_squamous	esophagus_squamous		Adherent	ESCC	5.58074849176377	red
ACH-000647	TE-1	TE1	TE1_OESOPHAGUS		753621	Male	JCRB	CVCL_1759	1493	oesophagus	Primary	Esophageal Cancer	Squamous Cell Carcinoma	NA	SIDM00369		esophagus	esophagus_squamous	esophagus_squamous			ESCC	5.56376827845203	black
ACH-000717	COLO-680N	COLO680N	COLO680N_OESOPHAGUS		906817	Female	DSMZ	CVCL_1131	1469	oesophagus	Primary	Esophageal Cancer	Squamous Cell Carcinoma	57	SIDM00956		esophagus	esophagus_squamous	esophagus_squamous		Adherent	ESCC	5.55918586578773	black
ACH-000809	KYSE-410	KYSE410	KYSE410_OESOPHAGUS		753574	Male	DSMZ	CVCL_1352	952	oesophagus	Primary	Esophageal Cancer	Squamous Cell Carcinoma	51	SIDM01028		esophagus	esophagus_squamous	esophagus_squamous		Adherent	ESCC	5.16751850373522	black
ACH-000353	TE-15	TE15	TE15_OESOPHAGUS		753614	Female	RIKEN	CVCL_1763	575	oesophagus	Primary	Esophageal Cancer	Squamous Cell Carcinoma	NA	SIDM00249		esophagus	esophagus_squamous	esophagus_squamous			ESCC	4.96947286459633	black
ACH-000452	TE-8	TE8	TE8_OESOPHAGUS		753623	Male	RIKEN	CVCL_1766	2253	oesophagus	Primary	Esophageal Cancer	Squamous Cell Carcinoma	NA	SIDM00326		esophagus	esophagus_squamous	esophagus_squamous			ESCC	4.6915341649192	black
ACH-000488	TE-11	TE11	TE11_OESOPHAGUS		946354	Male	RIKEN	CVCL_1761	2073	oesophagus	Primary	Esophageal Cancer	Squamous Cell Carcinoma	58	SIDM00348		esophagus	esophagus_squamous	esophagus_squamous			ESCC	4.4093909361377	black
ACH-000305	EC-GI-10	ECGI10	ECGI10_OESOPHAGUS		753555	Male	RIKEN	CVCL_1187	2138	lymph_node	Metastasis	Esophageal Cancer	Squamous Cell Carcinoma	65	SIDM00278		esophagus	esophagus_squamous	esophagus_squamous			ESCC	4.33771109212829	black
ACH-000318	TE-10	TE10	TE10_OESOPHAGUS		753622	Male	RIKEN	CVCL_1760	1561	oesophagus	Primary	Esophageal Cancer	Squamous Cell Carcinoma	NA	SIDM00349		esophagus	esophagus_squamous	esophagus_squamous			ESCC	4.27351588970212	black
ACH-000693	KYSE-180	KYSE180	KYSE180_OESOPHAGUS		907318	Male	DSMZ	CVCL_1349	599	oesophagus	Primary	Esophageal Cancer	Squamous Cell Carcinoma	53	SIDM01030		esophagus	esophagus_squamous	esophagus_squamous		Adherent	ESCC	4.16430358309365	black
ACH-000408	TE-5	TE5	TE5_OESOPHAGUS		735784	Female	RIKEN	CVCL_1764	576	oesophagus	Primary	Esophageal Cancer	Squamous Cell Carcinoma	73	SIDM00347		esophagus	esophagus_squamous	esophagus_squamous			ESCC	4.06608919045777	black
ACH-000637	KYSE-520	KYSE520	KYSE520_OESOPHAGUS		753575	Female	DSMZ	CVCL_1355	894	oesophagus	Primary	Esophageal Cancer	Squamous Cell Carcinoma	58	SIDM01025		esophagus	esophagus_squamous	esophagus_squamous		Adherent	ESCC	3.77610398807316	black
