Treatment	Gene	RelativeExp	Bio_rep
shScramble	BARX2	0.857968253885045	rep_1
shScramble	BARX2	0.995512799278388	rep_1
shScramble	BARX2	1.17079789595969	rep_1
shETS1	BARX2	0.297730497772438	rep_1
shETS1	BARX2	0.287023151253209	rep_1
shETS1	BARX2	0.250520701994147	rep_1
shScramble	BARX2	0.971159808447032	rep_2
shScramble	BARX2	0.977720082708138	rep_2
shScramble	BARX2	1.05316098830105	rep_2
shETS1	BARX2	0.385742493491196	rep_2
shETS1	BARX2	0.315965890121149	rep_2
shETS1	BARX2	0.410516908141001	rep_2
shScramble	BARX2	1.08702644142401	rep_3
shScramble	BARX2	0.88903409749912	rep_3
shScramble	BARX2	1.03476438797243	rep_3
shETS1	BARX2	0.356224307169181	rep_3
shETS1	BARX2	0.280643137898906	rep_3
shETS1	BARX2	0.298421422016385	rep_3
shScramble	EPCAM	1.01666133778356	rep_1
shScramble	EPCAM	0.978747241859957	rep_1
shScramble	EPCAM	1.00497009946369	rep_1
shETS1	EPCAM	0.451137181045387	rep_1
shETS1	EPCAM	0.411149821488837	rep_1
shETS1	EPCAM	0.459100194532876	rep_1
shScramble	EPCAM	1.00559845020068	rep_2
shScramble	EPCAM	0.94863811025434	rep_2
shScramble	EPCAM	1.04827405435357	rep_2
shETS1	EPCAM	0.47723704939622	rep_2
shETS1	EPCAM	0.460755536668603	rep_2
shETS1	EPCAM	0.542951200179763	rep_2
shScramble	EPCAM	1.03150965004704	rep_3
shScramble	EPCAM	1.02330635779189	rep_3
shScramble	EPCAM	0.947373063464707	rep_3
shETS1	EPCAM	0.412092362089506	rep_3
shETS1	EPCAM	0.390687211719688	rep_3
shETS1	EPCAM	0.37470406684678	rep_3
shScramble	ETS1	0.937026877173822	rep_1
shScramble	ETS1	0.966957203220366	rep_1
shScramble	ETS1	1.10367371332729	rep_1
shETS1	ETS1	0.106420870301686	rep_1
shETS1	ETS1	0.100788995171025	rep_1
shETS1	ETS1	0.0903266179901718	rep_1
shScramble	ETS1	0.906310629136445	rep_2
shScramble	ETS1	0.986687252726712	rep_2
shScramble	ETS1	1.11826159285036	rep_2
