Treatment	Gene	RelativeExp	Bio_rep
Control	BARX2	1.21721015829792	rep_1
Control	BARX2	1.095342428379	rep_1
Control	BARX2	0.750040166167312	rep_1
ETS1-OE	BARX2	16.6761920024889	rep_1
ETS1-OE	BARX2	17.0118606937618	rep_1
ETS1-OE	BARX2	12.8833303079871	rep_1
Control	BARX2	1.10856147552591	rep_2
Control	BARX2	1.15949154306877	rep_2
Control	BARX2	0.777987524000111	rep_2
ETS1-OE	BARX2	34.762493690667	rep_2
ETS1-OE	BARX2	28.0789675875943	rep_2
ETS1-OE	BARX2	24.3973812275443	rep_2
Control	BARX2	0.920473271719629	rep_3
Control	BARX2	1.01223636814894	rep_3
Control	BARX2	1.07326478771406	rep_3
ETS1-OE	BARX2	28.6492197455979	rep_3
ETS1-OE	BARX2	23.7573074834171	rep_3
ETS1-OE	BARX2	23.2583239816847	rep_3
Control	EPCAM	0.948821724584072	rep_1
Control	EPCAM	1.0230198959893	rep_1
Control	EPCAM	1.03022313906238	rep_1
ETS1-OE	EPCAM	1.6513410688252	rep_1
ETS1-OE	EPCAM	1.55706468779358	rep_1
ETS1-OE	EPCAM	1.51973637440836	rep_1
Control	EPCAM	0.86310275210138	rep_2
Control	EPCAM	1.08382041237657	rep_2
Control	EPCAM	1.06900607305069	rep_2
ETS1-OE	EPCAM	2.05180638288775	rep_2
ETS1-OE	EPCAM	1.80266523987141	rep_2
ETS1-OE	EPCAM	1.84763291627685	rep_2
Control	EPCAM	0.894780996343642	rep_3
Control	EPCAM	0.995066059174672	rep_3
Control	EPCAM	1.12313338058168	rep_3
ETS1-OE	EPCAM	1.86403334201634	rep_3
ETS1-OE	EPCAM	1.68245584405599	rep_3
ETS1-OE	EPCAM	1.82204337905219	rep_3
Control	ETS1	1.01571412198955	rep_1
Control	ETS1	1.00107820803862	rep_1
Control	ETS1	0.983468607569613	rep_1
ETS1-OE	ETS1	6.74927051581397	rep_1
ETS1-OE	ETS1	6.18438477804954	rep_1
ETS1-OE	ETS1	7.4419018877559	rep_1
Control	ETS1	0.931639434730352	rep_2
Control	ETS1	0.95862606231189	rep_2
Control	ETS1	1.11970316227195	rep_2
ETS1-OE	ETS1	4.88910295232766	rep_2
ETS1-OE	ETS1	6.05836348597025	rep_2
ETS1-OE	ETS1	6.06025205871748	rep_2
Control	ETS1	1.01134851476179	rep_3
Control	ETS1	1.06104073196464	rep_3
Control	ETS1	0.931895260075121	rep_3
ETS1-OE	ETS1	5.46242986226262	rep_3
ETS1-OE	ETS1	5.70914470352099	rep_3
ETS1-OE	ETS1	6.78974257012602	rep_3
Control	MNX1	0.982433761926153	rep_1
Control	MNX1	1.02748032887026	rep_1
Control	MNX1	0.990656754757147	rep_1
ETS1-OE	MNX1	1.53848714909579	rep_1
ETS1-OE	MNX1	1.31439995158488	rep_1
ETS1-OE	MNX1	1.24132501576204	rep_1
Control	MNX1	1.21884778251299	rep_2
Control	MNX1	0.848344793077209	rep_2
Control	MNX1	0.967115023589758	rep_2
ETS1-OE	MNX1	1.82837310705758	rep_2
ETS1-OE	MNX1	1.40507874981231	rep_2
ETS1-OE	MNX1	1.68784178175052	rep_2
Control	MNX1	1.23424515620714	rep_3
Control	MNX1	0.84775181724645	rep_3
Control	MNX1	0.955718161732524	rep_3
ETS1-OE	MNX1	2.05579229709419	rep_3
ETS1-OE	MNX1	1.65789280796408	rep_3
ETS1-OE	MNX1	2.1476173364237	rep_3
Control	OCLN	1.00486298342581	rep_1
Control	OCLN	0.896562411196901	rep_1
Control	OCLN	1.1099735370427	rep_1
ETS1-OE	OCLN	2.23288654490472	rep_1
ETS1-OE	OCLN	1.75583419462775	rep_1
ETS1-OE	OCLN	2.0926010040992	rep_1
Control	OCLN	0.903974403272746	rep_2
Control	OCLN	0.986442634482833	rep_2
Control	OCLN	1.12142964460873	rep_2
ETS1-OE	OCLN	2.1085756791841	rep_2
ETS1-OE	OCLN	1.90653532594888	rep_2
ETS1-OE	OCLN	1.94927549651108	rep_2
Control	OCLN	1.08498668974764	rep_3
Control	OCLN	0.959451133092829	rep_3
Control	OCLN	0.960622444425079	rep_3
ETS1-OE	OCLN	1.78613958578069	rep_3
ETS1-OE	OCLN	2.48054546128169	rep_3
ETS1-OE	OCLN	2.03753220694037	rep_3
Control	OTULINL	1.32986768175275	rep_1
Control	OTULINL	0.717504035620162	rep_1
Control	OTULINL	1.04801432733434	rep_1
ETS1-OE	OTULINL	3.19512287642512	rep_1
ETS1-OE	OTULINL	3.51995911124917	rep_1
ETS1-OE	OTULINL	3.41514506341844	rep_1
Control	OTULINL	1.28492201196385	rep_2
Control	OTULINL	0.876234683738993	rep_2
Control	OTULINL	0.888183684636518	rep_2
ETS1-OE	OTULINL	6.4280857694573	rep_2
ETS1-OE	OTULINL	4.61431693545233	rep_2
ETS1-OE	OTULINL	5.73503315707091	rep_2
Control	OTULINL	1.16986930634648	rep_3
Control	OTULINL	0.851728503070919	rep_3
Control	OTULINL	1.00360189399529	rep_3
ETS1-OE	OTULINL	2.01804826290618	rep_3
ETS1-OE	OTULINL	1.85327715920788	rep_3
ETS1-OE	OTULINL	3.47998108514008	rep_3
Control	SYK	1.17780900010788	rep_1
Control	SYK	0.783201096778784	rep_1
Control	SYK	1.08405631679333	rep_1
ETS1-OE	SYK	2.55555594265345	rep_1
ETS1-OE	SYK	2.3991411309884	rep_1
ETS1-OE	SYK	1.9518305370823	rep_1
Control	SYK	1.03385088507528	rep_2
Control	SYK	0.895507947545174	rep_2
Control	SYK	1.08012160128401	rep_2
ETS1-OE	SYK	1.73499181779309	rep_2
ETS1-OE	SYK	1.70675586549008	rep_2
ETS1-OE	SYK	1.64536208626688	rep_2
Control	SYK	1.07970128933349	rep_3
Control	SYK	1.01215076154405	rep_3
Control	SYK	0.91506337614682	rep_3
ETS1-OE	SYK	2.29599669900715	rep_3
ETS1-OE	SYK	2.4491790493769	rep_3
ETS1-OE	SYK	2.28366418320869	rep_3
