CREAM WS cutoff	Mean	Sd	Color
[-1, -0.9]	-7954.04587155963	5638.34308040232	normal
[-0.9, -0.8]	-3503.26605504587	2545.94971235069	normal
[-0.8, -0.7]	-1049.82568807339	1476.90448200405	normal
[-0.7, -0.6]	-184.045871559633	1096.16814391231	special
[-0.6, -0.5]	553.330275229358	1188.30592967504	normal
[-0.5, -0.4]	1367.20183486239	1291.29416693183	normal
[-0.4, -0.3]	1527.6880733945	1791.42092731941	normal
[-0.3, -0.2]	2304.17431192661	1912.74189873748	normal
[-0.2, -0.1]	2598.21100917431	2667.13089734669	normal
[-0.1, 0]	3876.50458715596	2607.56172692057	normal
[0, 0.1]	5359.07339449541	3511.13915435291	normal
[0.1, 0.2]	5974.23853211009	5051.07242536467	normal
[0.2, 0.3]	6204.09174311927	4649.35927194849	normal
[0.3, 0.4]	7976.73394495413	9326.71602484974	normal
[0.4, 0.5]	7388.34862385321	8189.36009730076	normal
[0.5, 0.6]	13528.6146788991	19319.3502904846	normal
[0.6, 0.7]	11996.3119266055	16316.9004816395	normal
[0.7, 0.8]	8546.76146788991	15456.4774231215	normal
[0.8, 0.9]	7915.98165137615	12636.9384756236	normal
[0.9, 1]	9282.09174311927	11248.8444876049	normal
