LOCK_group	Number_of_LOCKs	EID
Long LOCK	983	E017
Short LOCK	3358	E017
Long LOCK	661	E007
Short LOCK	248	E007
Long LOCK	1027	E009
Short LOCK	2737	E009
Long LOCK	1240	E010
Short LOCK	2996	E010
Long LOCK	1156	E013
Short LOCK	2749	E013
Long LOCK	572	E012
Short LOCK	416	E012
Long LOCK	796	E011
Short LOCK	2720	E011
Long LOCK	587	E004
Short LOCK	306	E004
Long LOCK	682	E005
Short LOCK	416	E005
Long LOCK	781	E006
Short LOCK	1993	E006
Long LOCK	1004	E062
Short LOCK	1561	E062
Long LOCK	1576	E034
Short LOCK	5175	E034
Long LOCK	986	E045
Short LOCK	684	E045
Long LOCK	373	E033
Short LOCK	1123	E033
Long LOCK	1040	E044
Short LOCK	1747	E044
Long LOCK	1218	E043
Short LOCK	2099	E043
Long LOCK	941	E039
Short LOCK	1444	E039
Long LOCK	1157	E041
Short LOCK	2022	E041
Long LOCK	924	E042
Short LOCK	1531	E042
Long LOCK	867	E040
Short LOCK	500	E040
Long LOCK	474	E037
Short LOCK	190	E037
Long LOCK	393	E048
Short LOCK	216	E048
Long LOCK	676	E038
Short LOCK	178	E038
Long LOCK	1093	E047
Short LOCK	1738	E047
Long LOCK	676	E029
Short LOCK	934	E029
Long LOCK	197	E031
Short LOCK	302	E031
Long LOCK	521	E035
Short LOCK	1754	E035
Long LOCK	932	E051
Short LOCK	4494	E051
Long LOCK	823	E050
Short LOCK	3622	E050
Long LOCK	1236	E036
Short LOCK	3282	E036
Long LOCK	984	E032
Short LOCK	1671	E032
Long LOCK	863	E046
Short LOCK	1641	E046
Long LOCK	1140	E030
Short LOCK	3319	E030
Long LOCK	1077	E026
Short LOCK	2791	E026
Long LOCK	1267	E049
Short LOCK	3173	E049
Long LOCK	1181	E025
Short LOCK	4380	E025
Long LOCK	1188	E023
Short LOCK	3905	E023
Long LOCK	1164	E052
Short LOCK	3424	E052
Long LOCK	1093	E055
Short LOCK	3689	E055
Long LOCK	1159	E056
Short LOCK	3949	E056
Long LOCK	597	E059
Short LOCK	2075	E059
Long LOCK	1066	E061
Short LOCK	3193	E061
Long LOCK	665	E057
Short LOCK	852	E057
Long LOCK	1077	E058
Short LOCK	3021	E058
Long LOCK	923	E028
Short LOCK	1984	E028
Long LOCK	1150	E027
Short LOCK	4275	E027
Long LOCK	548	E054
Short LOCK	1431	E054
Long LOCK	680	E053
Short LOCK	2245	E053
Long LOCK	435	E112
Short LOCK	300	E112
Long LOCK	697	E093
Short LOCK	649	E093
Long LOCK	831	E071
Short LOCK	2363	E071
Long LOCK	796	E074
Short LOCK	1846	E074
Long LOCK	479	E068
Short LOCK	932	E068
Long LOCK	623	E069
Short LOCK	1603	E069
Long LOCK	818	E072
Short LOCK	2035	E072
Long LOCK	755	E067
Short LOCK	1690	E067
Long LOCK	979	E073
Short LOCK	2348	E073
Long LOCK	737	E070
Short LOCK	1882	E070
Long LOCK	584	E082
Short LOCK	2636	E082
Long LOCK	524	E081
Short LOCK	2365	E081
Long LOCK	1056	E063
Short LOCK	3731	E063
Long LOCK	765	E100
Short LOCK	1713	E100
Long LOCK	827	E108
Short LOCK	3665	E108
Long LOCK	968	E107
Short LOCK	4296	E107
Long LOCK	954	E089
Short LOCK	3837	E089
Long LOCK	954	E090
Short LOCK	4331	E090
Long LOCK	672	E083
Short LOCK	2279	E083
Long LOCK	342	E104
Short LOCK	289	E104
Long LOCK	1004	E095
Short LOCK	2101	E095
Long LOCK	755	E105
Short LOCK	2308	E105
Long LOCK	1203	E065
Short LOCK	1660	E065
Long LOCK	645	E078
Short LOCK	2671	E078
Long LOCK	466	E076
Short LOCK	731	E076
Long LOCK	740	E103
Short LOCK	2086	E103
Long LOCK	828	E111
Short LOCK	2729	E111
Long LOCK	1058	E092
Short LOCK	4356	E092
Long LOCK	1069	E085
Short LOCK	3059	E085
Long LOCK	954	E084
Short LOCK	3090	E084
Long LOCK	1039	E109
Short LOCK	2353	E109
Long LOCK	1015	E106
Short LOCK	1873	E106
Long LOCK	913	E075
Short LOCK	2763	E075
Long LOCK	890	E101
Short LOCK	2278	E101
Long LOCK	734	E102
Short LOCK	1838	E102
Long LOCK	928	E110
Short LOCK	2553	E110
Long LOCK	850	E077
Short LOCK	2318	E077
Long LOCK	702	E079
Short LOCK	1030	E079
Long LOCK	704	E094
Short LOCK	314	E094
Long LOCK	430	E099
Short LOCK	1169	E099
Long LOCK	457	E086
Short LOCK	1541	E086
Long LOCK	732	E088
Short LOCK	3183	E088
Long LOCK	739	E097
Short LOCK	1158	E097
Long LOCK	618	E087
Short LOCK	1003	E087
Long LOCK	1081	E080
Short LOCK	4179	E080
Long LOCK	633	E091
Short LOCK	2165	E091
Long LOCK	816	E066
Short LOCK	1310	E066
Long LOCK	664	E098
Short LOCK	228	E098
Long LOCK	578	E096
Short LOCK	1087	E096
Long LOCK	631	E113
Short LOCK	545	E113
Long LOCK	301	E116
Short LOCK	120	E116
Long LOCK	905	E119
Short LOCK	1682	E119
Long LOCK	817	E120
Short LOCK	1529	E120
Long LOCK	1525	E121
Short LOCK	3105	E121
Long LOCK	1064	E122
Short LOCK	2663	E122
Long LOCK	877	E124
Short LOCK	1673	E124
Long LOCK	929	E125
Short LOCK	3107	E125
Long LOCK	580	E126
Short LOCK	1331	E126
Long LOCK	1071	E127
Short LOCK	3254	E127
Long LOCK	800	E128
Short LOCK	1959	E128
Long LOCK	1299	E129
Short LOCK	3834	E129
