commonPMD class	Domain size
I	600000
I	1400000
I	100000
I	500000
I	1200000
I	100000
I	200000
I	100000
I	100000
I	200000
I	500000
I	900000
I	100000
I	600000
I	500000
I	100000
I	100000
I	100000
I	300000
I	1200000
I	300000
I	200000
I	100000
I	500000
I	100000
I	200000
I	500000
I	300000
I	300000
I	500000
I	300000
I	100000
I	500000
I	300000
I	200000
I	1500000
I	1000000
I	200000
I	900000
I	1400000
I	100000
I	1200000
I	1500000
I	400000
I	100000
I	300000
I	800000
I	300000
I	200000
I	200000
I	600000
I	700000
I	2900000
I	300000
I	700000
I	200000
I	600000
I	100000
I	600000
I	100000
I	100000
I	300000
I	100000
I	1300000
I	400000
I	600000
I	500000
I	600000
I	200000
I	100000
I	500000
I	300000
I	100000
I	200000
I	100000
I	400000
I	200000
I	400000
I	100000
I	100000
I	200000
I	900000
I	300000
I	100000
I	100000
I	1200000
I	100000
I	100000
I	100000
I	100000
I	200000
I	100000
I	100000
I	100000
I	900000
I	100000
I	100000
I	200000
I	200000
I	900000
I	700000
I	200000
I	300000
I	600000
I	100000
I	200000
I	200000
I	100000
I	100000
I	100000
I	500000
I	300000
I	100000
I	800000
I	600000
I	800000
I	200000
I	900000
I	300000
I	100000
I	600000
I	300000
I	200000
I	800000
I	300000
I	200000
I	900000
I	1900000
I	400000
I	800000
I	400000
I	1300000
I	200000
I	900000
I	400000
I	100000
I	400000
I	100000
I	100000
I	200000
I	100000
I	800000
I	200000
I	300000
I	500000
I	400000
I	200000
I	300000
I	300000
I	300000
I	500000
I	900000
I	700000
I	200000
I	300000
I	100000
I	600000
I	600000
I	500000
I	100000
I	100000
I	100000
I	100000
I	100000
I	400000
I	700000
I	200000
I	500000
I	100000
I	800000
I	200000
I	100000
I	1300000
I	500000
I	1700000
I	600000
I	800000
I	2400000
I	200000
I	300000
I	100000
I	500000
I	300000
I	900000
I	100000
I	300000
I	600000
I	800000
I	500000
I	100000
I	500000
I	100000
I	100000
I	200000
I	200000
I	400000
I	100000
I	500000
I	100000
I	100000
I	800000
I	500000
I	400000
I	500000
I	700000
I	500000
I	200000
I	300000
I	1400000
I	900000
I	600000
I	400000
I	400000
I	200000
I	500000
I	700000
I	200000
I	100000
I	1100000
I	100000
I	200000
I	1300000
I	400000
I	100000
I	500000
I	100000
I	400000
I	700000
I	100000
I	200000
I	300000
I	500000
I	1300000
I	200000
I	1500000
I	300000
I	200000
I	100000
I	300000
I	600000
I	100000
I	500000
I	100000
I	300000
I	700000
I	100000
I	200000
I	800000
I	300000
I	100000
I	700000
I	800000
I	1800000
I	300000
I	200000
I	100000
I	1600000
I	100000
I	600000
I	800000
I	500000
I	900000
I	200000
I	900000
I	100000
I	100000
I	600000
I	200000
I	1000000
I	300000
I	400000
I	800000
I	300000
I	1200000
I	100000
I	200000
I	400000
I	200000
I	100000
I	700000
I	300000
I	700000
I	500000
I	4200000
I	200000
I	100000
I	200000
I	100000
I	300000
I	400000
I	100000
I	800000
I	200000
I	100000
I	1500000
I	200000
I	100000
I	400000
I	200000
I	200000
I	900000
I	100000
I	200000
I	100000
I	100000
I	300000
I	500000
I	2000000
I	400000
I	600000
I	300000
I	300000
I	200000
I	700000
I	600000
I	200000
I	100000
I	600000
I	100000
I	200000
I	100000
I	100000
I	400000
I	800000
I	100000
I	400000
I	200000
I	1000000
I	1800000
I	300000
I	1100000
I	600000
I	700000
I	100000
I	300000
I	100000
I	200000
I	400000
I	1400000
I	400000
I	1200000
I	400000
I	100000
I	100000
I	100000
I	500000
I	500000
I	100000
I	200000
I	200000
I	200000
I	100000
I	500000
I	600000
I	200000
I	1400000
I	100000
I	100000
I	1100000
I	400000
I	3100000
I	100000
I	600000
I	300000
I	800000
I	500000
I	900000
I	1200000
I	700000
I	100000
I	200000
I	500000
I	300000
I	1600000
I	100000
I	200000
I	100000
I	200000
I	100000
I	200000
I	800000
I	700000
I	600000
I	100000
I	100000
I	100000
I	100000
I	900000
I	200000
I	100000
I	1300000
I	100000
I	100000
I	300000
I	200000
I	900000
I	500000
I	800000
I	1700000
I	1500000
I	400000
I	300000
I	600000
I	500000
I	500000
I	1300000
I	500000
I	800000
I	200000
I	800000
I	300000
I	300000
I	300000
I	600000
I	400000
I	1100000
I	300000
I	600000
I	2200000
I	600000
I	2100000
I	100000
I	100000
I	900000
I	100000
I	400000
I	1600000
I	800000
I	700000
I	300000
I	100000
I	400000
I	100000
I	200000
I	500000
I	100000
I	300000
I	200000
I	100000
I	600000
I	400000
I	900000
I	100000
I	700000
I	300000
I	200000
I	100000
I	1800000
I	700000
I	500000
I	500000
I	200000
I	500000
I	700000
I	200000
I	100000
I	100000
I	300000
I	100000
I	600000
I	300000
I	300000
I	200000
I	100000
I	800000
I	1200000
I	700000
I	100000
I	600000
I	200000
I	100000
I	100000
I	100000
I	300000
I	100000
I	400000
I	500000
I	400000
I	300000
I	200000
I	600000
I	1200000
I	300000
I	100000
I	700000
I	300000
I	300000
I	300000
I	400000
I	100000
I	100000
I	400000
I	100000
I	100000
I	200000
I	300000
I	200000
I	100000
I	400000
I	600000
I	400000
I	400000
I	100000
I	100000
I	100000
I	2500000
I	100000
I	200000
I	700000
I	100000
I	100000
I	500000
I	100000
I	600000
I	1400000
I	1500000
I	600000
I	1100000
I	200000
I	100000
I	100000
I	100000
I	400000
I	100000
I	400000
I	400000
I	200000
I	800000
I	3800000
I	200000
I	100000
I	100000
I	100000
I	1600000
I	200000
I	400000
I	1100000
I	300000
I	100000
I	800000
I	200000
I	800000
I	600000
I	800000
I	800000
I	200000
I	400000
I	200000
I	100000
I	600000
I	400000
I	1800000
