gene_name	LOCK_group	MD_anno	mean_exp	index	TorN	mean_exp_winsorize
ACTRT2	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
PRDM16-DT	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
PRDM16	Tumor-gain LOCKs	common PMDs	-0.954873975235538	NE2_KYSE510.T	KYSE510	-0.954873975235538
LINC01134	Tumor-gain LOCKs	common PMDs	-0.583376779389931	NE2_KYSE510.T	KYSE510	-0.583376779389931
LINC01346	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC01345	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC01777	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC01646	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
AJAP1	Tumor-gain LOCKs	common PMDs	-0.676337282479529	NE2_KYSE510.T	KYSE510	-0.676337282479529
LINC02782	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
DISP3	Shared LOCKs	common PMDs	-0.93370921921154	NE2_KYSE510.T	KYSE510	-0.93370921921154
AADACL3	Shared LOCKs	common PMDs	-0.963248383098273	NE2_KYSE510.T	KYSE510	-0.963248383098273
PRAMEF12	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
PRAMEF1	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC01784	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
PRAMEF11	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
HNRNPCL1	Shared LOCKs	common PMDs	-0.939440354047418	NE2_KYSE510.T	KYSE510	-0.939440354047418
PRAMEF2	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
PRAMEF4	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
PRAMEF10	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
PRAMEF7	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
PRAMEF6	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
HNRNPCL2	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
PRAMEF36P	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
