gene_name	LOCK_group	MD_anno	mean_exp	index	TorN	mean_exp_winsorize
LINC01346	Tumor-gain LOCKs	common PMDs	-0.94674459332812	breastNormalVsHer2Pos.T	Tumor	-0.94674459332812
AJAP1	Tumor-gain LOCKs	common PMDs	-0.900143595953521	breastNormalVsHer2Pos.T	Tumor	-0.900143595953521
HFM1	Tumor-loss LOCKs	common PMDs	-0.917256115569556	breastNormalVsHer2Pos.T	Tumor	-0.917256115569556
UBL4B	Tumor-loss LOCKs	common PMDs	-0.818898771500474	breastNormalVsHer2Pos.T	Tumor	-0.818898771500474
SLC6A17	Tumor-loss LOCKs	common PMDs	-0.83346433278963	breastNormalVsHer2Pos.T	Tumor	-0.83346433278963
CHIA	Tumor-loss LOCKs	common PMDs	-0.94674459332812	breastNormalVsHer2Pos.T	Tumor	-0.94674459332812
PIFO	Tumor-loss LOCKs	common PMDs	-0.81901899205997	breastNormalVsHer2Pos.T	Tumor	-0.81901899205997
SYCP1	Tumor-loss LOCKs	common PMDs	-0.939108759191761	breastNormalVsHer2Pos.T	Tumor	-0.939108759191761
RNVU1-18	Tumor-gain LOCKs	common PMDs	-0.94674459332812	breastNormalVsHer2Pos.T	Tumor	-0.94674459332812
SELP	Tumor-loss LOCKs	common PMDs	-0.94674459332812	breastNormalVsHer2Pos.T	Tumor	-0.94674459332812
C4BPA	Tumor-loss LOCKs	common PMDs	-0.548735977537525	breastNormalVsHer2Pos.T	Tumor	-0.548735977537525
CR1	Tumor-loss LOCKs	common PMDs	-0.94674459332812	breastNormalVsHer2Pos.T	Tumor	-0.94674459332812
PROX1-AS1	Shared LOCKs	common PMDs	-0.938485820587192	breastNormalVsHer2Pos.T	Tumor	-0.938485820587192
LINC00538	Shared LOCKs	common PMDs	-0.94674459332812	breastNormalVsHer2Pos.T	Tumor	-0.94674459332812
PROX1	Shared LOCKs	common PMDs	-0.917504640108062	breastNormalVsHer2Pos.T	Tumor	-0.917504640108062
LYPLAL1	Tumor-loss LOCKs	common PMDs	0.917410649103718	breastNormalVsHer2Pos.T	Tumor	0.917410649103718
LYPLAL1-AS1	Tumor-loss LOCKs	common PMDs	-0.752737925588358	breastNormalVsHer2Pos.T	Tumor	-0.752737925588358
ZC3H11B	Tumor-loss LOCKs	common PMDs	0.398012802504337	breastNormalVsHer2Pos.T	Tumor	0.398012802504337
PGBD5	Tumor-loss LOCKs	common PMDs	-0.363542529580536	breastNormalVsHer2Pos.T	Tumor	-0.363542529580536
TRIM67	Tumor-loss LOCKs	common PMDs	-0.864226210289656	breastNormalVsHer2Pos.T	Tumor	-0.864226210289656
NLRP3	Tumor-gain LOCKs	common PMDs	-0.809995085093826	breastNormalVsHer2Pos.T	Tumor	-0.809995085093826
OR2B11	Tumor-gain LOCKs	common PMDs	-0.918978798137265	breastNormalVsHer2Pos.T	Tumor	-0.918978798137265
GCSAML	Tumor-gain LOCKs	common PMDs	-0.939653906900799	breastNormalVsHer2Pos.T	Tumor	-0.939653906900799
OR2C3	Tumor-gain LOCKs	common PMDs	-0.94674459332812	breastNormalVsHer2Pos.T	Tumor	-0.94674459332812
MIR6072	Tumor-gain LOCKs	common PMDs	-0.94674459332812	breastNormalVsHer2Pos.T	Tumor	-0.94674459332812
LINC00710	Tumor-gain LOCKs	common PMDs	-0.94674459332812	breastNormalVsHer2Pos.T	Tumor	-0.94674459332812
ARMC3	Tumor-loss LOCKs	common PMDs	-0.936971744806662	breastNormalVsHer2Pos.T	Tumor	-0.936971744806662
MYO3A	Tumor-gain LOCKs	common PMDs	-0.94674459332812	breastNormalVsHer2Pos.T	Tumor	-0.94674459332812
GAD2	Tumor-gain LOCKs	common PMDs	-0.94674459332812	breastNormalVsHer2Pos.T	Tumor	-0.94674459332812
OGDHL	Tumor-loss LOCKs	common PMDs	-0.068602329001088	breastNormalVsHer2Pos.T	Tumor	-0.068602329001088
LINC00856	Tumor-loss LOCKs	common PMDs	-0.934161499038988	breastNormalVsHer2Pos.T	Tumor	-0.934161499038988
EIF5AL1	Tumor-loss LOCKs	common PMDs	0.691239186678418	breastNormalVsHer2Pos.T	Tumor	0.691239186678418
SFTPA2	Tumor-loss LOCKs	common PMDs	-0.557997661007042	breastNormalVsHer2Pos.T	Tumor	-0.557997661007042
BMS1P21	Tumor-loss LOCKs	common PMDs	-0.94674459332812	breastNormalVsHer2Pos.T	Tumor	-0.94674459332812
MBL1P	Tumor-loss LOCKs	common PMDs	-0.94674459332812	breastNormalVsHer2Pos.T	Tumor	-0.94674459332812
