gene_name	LOCK_group	MD_anno	mean_exp	index	TorN	mean_exp_winsorize
ACTL8	Tumor-loss LOCKs	common PMDs	0.074289693144512	breastNormalVsLuminalA.T	Tumor	0.074289693144512
IGSF21	Tumor-loss LOCKs	common PMDs	-0.130329557739025	breastNormalVsLuminalA.T	Tumor	-0.130329557739025
LINC01343	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
LINC00466	Tumor-loss LOCKs	common PMDs	-0.938366161891748	breastNormalVsLuminalA.T	Tumor	-0.938366161891748
HFM1	Tumor-loss LOCKs	common PMDs	-0.95158431402257	breastNormalVsLuminalA.T	Tumor	-0.95158431402257
UBL4B	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
SLC6A17	Tumor-loss LOCKs	common PMDs	0.0253409896923212	breastNormalVsLuminalA.T	Tumor	0.0253409896923212
CD53	Tumor-loss LOCKs	common PMDs	-0.909787218563201	breastNormalVsLuminalA.T	Tumor	-0.909787218563201
CHIA	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
PIFO	Tumor-loss LOCKs	common PMDs	-0.577060073165163	breastNormalVsLuminalA.T	Tumor	-0.577060073165163
SYT6	Tumor-loss LOCKs	common PMDs	-0.792224728605928	breastNormalVsLuminalA.T	Tumor	-0.792224728605928
SYCP1	Tumor-loss LOCKs	common PMDs	-0.838131677296817	breastNormalVsLuminalA.T	Tumor	-0.838131677296817
HRNR	Shared LOCKs	common PMDs	-0.959327917142772	breastNormalVsLuminalA.T	Tumor	-0.959327917142772
FLG	Shared LOCKs	common PMDs	-0.949936857308059	breastNormalVsLuminalA.T	Tumor	-0.949936857308059
FLG-AS1	Shared LOCKs	common PMDs	-0.939872127825464	breastNormalVsLuminalA.T	Tumor	-0.939872127825464
FLG2	Shared LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
LCE5A	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
LCE3E	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
LCE3D	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
LCE3C	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
LCE3B	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
LCE3A	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
KCNN3	Tumor-loss LOCKs	common PMDs	-0.901433168203811	breastNormalVsLuminalA.T	Tumor	-0.901433168203811
FCRL5	Shared LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
FCRL4	Shared LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
FCRL2	Tumor-loss LOCKs	common PMDs	-0.921327744606733	breastNormalVsLuminalA.T	Tumor	-0.921327744606733
AIM2	Tumor-gain LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
SLAMF6	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
CD84	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
SLAMF1	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
CD48	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
RXRG	Tumor-loss LOCKs	common PMDs	-0.548689560147944	breastNormalVsLuminalA.T	Tumor	-0.548689560147944
LRRC52	Tumor-loss LOCKs	common PMDs	-0.941565202629769	breastNormalVsLuminalA.T	Tumor	-0.941565202629769
ILDR2	Tumor-loss LOCKs	common PMDs	-0.568196666315844	breastNormalVsLuminalA.T	Tumor	-0.568196666315844
MAEL	Tumor-loss LOCKs	common PMDs	-0.943399516863161	breastNormalVsLuminalA.T	Tumor	-0.943399516863161
SELP	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
C4BPA	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
CR1	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
SYT14	Tumor-loss LOCKs	common PMDs	-0.926197104297163	breastNormalVsLuminalA.T	Tumor	-0.926197104297163
PROX1-AS1	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
LINC00538	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
PROX1	Tumor-loss LOCKs	common PMDs	-0.957813137075442	breastNormalVsLuminalA.T	Tumor	-0.957813137075442
LINC00210	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
LYPLAL1-AS1	Tumor-loss LOCKs	common PMDs	-0.42284687005301	breastNormalVsLuminalA.T	Tumor	-0.42284687005301
ZC3H11B	Tumor-loss LOCKs	common PMDs	0.717890135382714	breastNormalVsLuminalA.T	Tumor	0.717890135382714
PGBD5	Tumor-loss LOCKs	common PMDs	0.405308754762064	breastNormalVsLuminalA.T	Tumor	0.405308754762064
TRIM67	Tumor-loss LOCKs	common PMDs	-0.808660357679055	breastNormalVsLuminalA.T	Tumor	-0.808660357679055
CHRM3-AS1	Tumor-gain LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
PLD5	Tumor-gain LOCKs	common PMDs	-0.826867374055268	breastNormalVsLuminalA.T	Tumor	-0.826867374055268
PRKCQ-AS1	Shared LOCKs	common PMDs	-0.94292544717745	breastNormalVsLuminalA.T	Tumor	-0.94292544717745
SFTA1P	Tumor-gain LOCKs	common PMDs	-0.910852949301311	breastNormalVsLuminalA.T	Tumor	-0.910852949301311
LINC00710	Tumor-gain LOCKs	common PMDs	-0.94400674975719	breastNormalVsLuminalA.T	Tumor	-0.94400674975719
MIR4293	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
MIR1265	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
ARMC3	Tumor-loss LOCKs	common PMDs	-0.931934150774489	breastNormalVsLuminalA.T	Tumor	-0.931934150774489
C10orf67	Tumor-loss LOCKs	common PMDs	-0.893822706586771	breastNormalVsLuminalA.T	Tumor	-0.893822706586771
WDFY4	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
LRRC18	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
MIR4294	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
VSTM4	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
FAM170B-AS1	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
C10orf71-AS1	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
C10orf71	Tumor-loss LOCKs	common PMDs	-0.865553314432794	breastNormalVsLuminalA.T	Tumor	-0.865553314432794
DRGX	Tumor-loss LOCKs	common PMDs	-0.584827424125813	breastNormalVsLuminalA.T	Tumor	-0.584827424125813
OGDHL	Tumor-loss LOCKs	common PMDs	-0.182531138182005	breastNormalVsLuminalA.T	Tumor	-0.182531138182005
LINC00844	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
PHYHIPL	Tumor-loss LOCKs	common PMDs	-0.85214417315969	breastNormalVsLuminalA.T	Tumor	-0.85214417315969
FAM13C	Tumor-loss LOCKs	common PMDs	-0.915399361926876	breastNormalVsLuminalA.T	Tumor	-0.915399361926876
COL13A1	Tumor-loss LOCKs	common PMDs	-0.230638694025627	breastNormalVsLuminalA.T	Tumor	-0.230638694025627
LINC00856	Tumor-loss LOCKs	common PMDs	-0.925583967227735	breastNormalVsLuminalA.T	Tumor	-0.925583967227735
EIF5AL1	Tumor-loss LOCKs	common PMDs	0.827355401423724	breastNormalVsLuminalA.T	Tumor	0.827355401423724
SFTPA2	Tumor-loss LOCKs	common PMDs	-0.0264294139769947	breastNormalVsLuminalA.T	Tumor	-0.0264294139769947
SFTPA1	Tumor-loss LOCKs	common PMDs	-0.894277492696787	breastNormalVsLuminalA.T	Tumor	-0.894277492696787
BMS1P21	Tumor-loss LOCKs	common PMDs	-0.962414852332885	breastNormalVsLuminalA.T	Tumor	-0.962414852332885
