gene_name	LOCK_group	MD_anno	mean_exp	index	TorN	mean_exp_winsorize
LINC01346	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
ACTL8	Tumor-loss LOCKs	common PMDs	-0.259262202135181	breastNormalVsTN_Basal.T	Tumor	-0.259262202135181
IGSF21	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
ELAVL4	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
UBL4B	Tumor-loss LOCKs	common PMDs	-0.698456830112941	breastNormalVsTN_Basal.T	Tumor	-0.698456830112941
CHIA	Tumor-loss LOCKs	common PMDs	-0.957844380717694	breastNormalVsTN_Basal.T	Tumor	-0.957844380717694
PIFO	Tumor-loss LOCKs	common PMDs	-0.663576151715001	breastNormalVsTN_Basal.T	Tumor	-0.663576151715001
KCND3	Shared LOCKs	common PMDs	-0.97757577656962	breastNormalVsTN_Basal.T	Tumor	-0.97757577656962
KCND3-IT1	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
KCND3-AS1	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
FCRL5	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
FCRL4	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
FCRL2	Shared LOCKs	common PMDs	-0.953658503091999	breastNormalVsTN_Basal.T	Tumor	-0.953658503091999
FCRL1	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
CD5L	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
AIM2	Tumor-gain LOCKs	common PMDs	-0.922434623911046	breastNormalVsTN_Basal.T	Tumor	-0.922434623911046
FCER1A	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
OR10J3	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
OR10J1	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
OR10J4	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
OR10J5	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
APCS	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
CRP	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
FAM78B	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MIR921	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
C4BPA	Tumor-loss LOCKs	common PMDs	-0.737592996950677	breastNormalVsTN_Basal.T	Tumor	-0.737592996950677
SYT14	Tumor-loss LOCKs	common PMDs	0.0690852537330889	breastNormalVsTN_Basal.T	Tumor	0.0690852537330889
LYPLAL1	Tumor-loss LOCKs	common PMDs	1.20240780871294	breastNormalVsTN_Basal.T	Tumor	1.20240780871294
LYPLAL1-AS1	Tumor-loss LOCKs	common PMDs	-0.115748841388109	breastNormalVsTN_Basal.T	Tumor	-0.115748841388109
ZC3H11B	Tumor-loss LOCKs	common PMDs	0.303994782868476	breastNormalVsTN_Basal.T	Tumor	0.303994782868476
