gene_name	LOCK_group	MD_anno	mean_exp	index	TorN	mean_exp_winsorize
LINC01346	Tumor-gain LOCKs	common PMDs	-0.991502198306526	breastNormalVsTN_CL.T	Tumor	-0.991502198306526
HFM1	Tumor-loss LOCKs	common PMDs	-0.64711665818057	breastNormalVsTN_CL.T	Tumor	-0.64711665818057
SYCP1	Tumor-loss LOCKs	common PMDs	-0.991502198306526	breastNormalVsTN_CL.T	Tumor	-0.991502198306526
RPTN	Tumor-loss LOCKs	common PMDs	-0.858507996374855	breastNormalVsTN_CL.T	Tumor	-0.858507996374855
HRNR	Tumor-loss LOCKs	common PMDs	-0.725263175044482	breastNormalVsTN_CL.T	Tumor	-0.725263175044482
FLG	Tumor-loss LOCKs	common PMDs	-0.426624637459309	breastNormalVsTN_CL.T	Tumor	-0.426624637459309
FLG-AS1	Tumor-loss LOCKs	common PMDs	-0.243061386924853	breastNormalVsTN_CL.T	Tumor	-0.243061386924853
FLG2	Tumor-loss LOCKs	common PMDs	-0.982236796578234	breastNormalVsTN_CL.T	Tumor	-0.982236796578234
FCRL2	Tumor-loss LOCKs	common PMDs	-0.938746397051683	breastNormalVsTN_CL.T	Tumor	-0.938746397051683
ILDR2	Tumor-loss LOCKs	common PMDs	0.0881174531814457	breastNormalVsTN_CL.T	Tumor	0.0881174531814457
MAEL	Tumor-loss LOCKs	common PMDs	-0.0119351621964011	breastNormalVsTN_CL.T	Tumor	-0.0119351621964011
C4BPA	Tumor-loss LOCKs	common PMDs	-0.975719492605785	breastNormalVsTN_CL.T	Tumor	-0.975719492605785
CR1	Tumor-loss LOCKs	common PMDs	-0.991502198306526	breastNormalVsTN_CL.T	Tumor	-0.991502198306526
SYT14	Tumor-loss LOCKs	common PMDs	-0.221440666446394	breastNormalVsTN_CL.T	Tumor	-0.221440666446394
LINC00210	Tumor-loss LOCKs	common PMDs	-0.991502198306526	breastNormalVsTN_CL.T	Tumor	-0.991502198306526
LYPLAL1-AS1	Tumor-loss LOCKs	common PMDs	0.0528980630053489	breastNormalVsTN_CL.T	Tumor	0.0528980630053489
ZC3H11B	Tumor-loss LOCKs	common PMDs	0.480311588088805	breastNormalVsTN_CL.T	Tumor	0.480311588088805
MIR6072	Tumor-gain LOCKs	common PMDs	-0.991502198306526	breastNormalVsTN_CL.T	Tumor	-0.991502198306526
MIR4293	Tumor-loss LOCKs	common PMDs	-0.991502198306526	breastNormalVsTN_CL.T	Tumor	-0.991502198306526
MIR1265	Tumor-loss LOCKs	common PMDs	-0.991502198306526	breastNormalVsTN_CL.T	Tumor	-0.991502198306526
ARMC3	Tumor-loss LOCKs	common PMDs	-0.809103944613222	breastNormalVsTN_CL.T	Tumor	-0.809103944613222
C10orf67	Tumor-loss LOCKs	common PMDs	-0.607610900458838	breastNormalVsTN_CL.T	Tumor	-0.607610900458838
