group	size_bp	percent	EID
H3K27me3 only	92189312	3.41441896296296	E017
both	4337957	0.160665074074074	E017
H3K9me3 only	94619624	3.50443051851852	E017
H3K27me3 only	12537242	0.464342296296296	E007
both	958201	0.0354889259259259	E007
H3K9me3 only	26784421	0.992015592592593	E007
H3K27me3 only	84746021	3.13874151851852	E009
both	1832625	0.067875	E009
H3K9me3 only	64351061	2.38337262962963	E009
H3K27me3 only	76474987	2.83240692592593	E010
both	1920975	0.0711472222222222	E010
H3K9me3 only	37526160	1.38985777777778	E010
H3K27me3 only	68463345	2.53567944444444	E013
both	1541429	0.057089962962963	E013
H3K9me3 only	106676517	3.95098211111111	E013
H3K27me3 only	57168709	2.11735959259259	E012
both	338402	0.0125334074074074	E012
H3K9me3 only	40798478	1.51105474074074	E012
H3K27me3 only	99192358	3.67379103703704	E011
both	2138920	0.0792192592592593	E011
H3K9me3 only	137766773	5.10247307407407	E011
H3K27me3 only	26951502	0.998203777777778	E004
both	183592	0.0067997037037037	E004
H3K9me3 only	11250752	0.416694518518518	E004
H3K27me3 only	17495347	0.647975814814815	E005
both	3316691	0.122840407407407	E005
H3K9me3 only	50209658	1.85961696296296	E005
H3K27me3 only	24504471	0.907573	E006
both	1258268	0.0466025185185185	E006
H3K9me3 only	51278298	1.89919622222222	E006
H3K27me3 only	66929532	2.47887155555556	E062
both	2502301	0.0926778148148148	E062
H3K9me3 only	47895134	1.77389385185185	E062
H3K27me3 only	148897787	5.51473285185185	E034
both	2270973	0.0841101111111111	E034
H3K9me3 only	43910910	1.62633	E034
H3K27me3 only	34043729	1.26087885185185	E045
both	291641	0.0108015185185185	E045
H3K9me3 only	26327645	0.975097962962963	E045
H3K27me3 only	11066467	0.409869148148148	E033
both	47496	0.00175911111111111	E033
H3K9me3 only	6339806	0.23480762962963	E033
H3K27me3 only	78367217	2.90248951851852	E044
both	1121358	0.0415317777777778	E044
H3K9me3 only	53360417	1.97631174074074	E044
H3K27me3 only	66206253	2.45208344444444	E043
both	1526382	0.0565326666666667	E043
H3K9me3 only	52649164	1.94996903703704	E043
H3K27me3 only	43220871	1.600773	E039
both	596749	0.0221018148148148	E039
H3K9me3 only	29802933	1.10381233333333	E039
H3K27me3 only	88780985	3.28818462962963	E041
both	599906	0.0222187407407407	E041
H3K9me3 only	34206630	1.26691222222222	E041
H3K27me3 only	49681359	1.84005033333333	E042
both	333726	0.0123602222222222	E042
H3K9me3 only	25798783	0.955510481481481	E042
H3K27me3 only	32655610	1.20946703703704	E040
both	320768	0.0118802962962963	E040
H3K9me3 only	34201798	1.26673325925926	E040
H3K27me3 only	13061424	0.483756444444444	E037
both	63306	0.00234466666666667	E037
H3K9me3 only	20979247	0.777009148148148	E037
H3K27me3 only	12267187	0.454340259259259	E048
both	80094	0.00296644444444444	E048
H3K9me3 only	16752061	0.620446703703704	E048
H3K27me3 only	21980517	0.814093222222222	E038
both	137785	0.00510314814814815	E038
H3K9me3 only	12864770	0.476472962962963	E038
H3K27me3 only	42160195	1.5614887037037	E047
both	880068	0.0325951111111111	E047
H3K9me3 only	32386548	1.19950177777778	E047
H3K27me3 only	63186348	2.34023511111111	E029
both	2130829	0.0789195925925926	E029
H3K9me3 only	98219118	3.63774511111111	E029
H3K27me3 only	2159680	0.0799881481481481	E031
both	42468	0.00157288888888889	E031
H3K9me3 only	4938819	0.182919222222222	E031
H3K27me3 only	14302269	0.529713666666667	E035
both	302755	0.0112131481481481	E035
H3K9me3 only	23601633	0.874134555555556	E035
H3K27me3 only	80310078	2.97444733333333	E051
both	4336706	0.160618740740741	E051
H3K9me3 only	122257864	4.52806903703704	E051
H3K27me3 only	82584490	3.05868481481482	E050
both	2993112	0.110856	E050
H3K9me3 only	70999836	2.62962355555556	E050
H3K27me3 only	64161840	2.37636444444444	E036
both	2751970	0.101924814814815	E036
H3K9me3 only	53950980	1.99818444444444	E036
H3K27me3 only	49722352	1.84156859259259	E032
both	1748481	0.0647585555555556	E032
H3K9me3 only	39554441	1.4649792962963	E032
H3K27me3 only	34200415	1.26668203703704	E046
both	1390173	0.0514878888888889	E046
H3K9me3 only	66058397	2.4466072962963	E046
H3K27me3 only	100500595	3.72224425925926	E030
both	3851707	0.142655814814815	E030
H3K9me3 only	82769231	3.06552707407407	E030
H3K27me3 only	108194496	4.00720355555556	E026
both	1318754	0.0488427407407407	E026
H3K9me3 only	44533851	1.64940188888889	E026
H3K27me3 only	137538639	5.09402366666667	E049
both	2323569	0.0860581111111111	E049
H3K9me3 only	64760920	2.39855259259259	E049
H3K27me3 only	118847315	4.40175240740741	E025
both	1968975	0.072925	E025
H3K9me3 only	64454930	2.38721962962963	E025
H3K27me3 only	96333149	3.56789440740741	E023
both	4390169	0.162598851851852	E023
H3K9me3 only	74011586	2.74116985185185	E023
H3K27me3 only	101896692	3.77395155555556	E052
both	562914	0.0208486666666667	E052
H3K9me3 only	33849135	1.25367166666667	E052
H3K27me3 only	155717670	5.76732111111111	E055
both	6426515	0.238019074074074	E055
H3K9me3 only	121278015	4.49177833333333	E055
