gene_name	chrom	start	end	MeanExp	d	LOCK_group	MD_anno	index	OG_TSG_anno	TorN	max	min	singleValue
BNC2	chr9	16409502	16870670	-0.572054126863977	461168	Tumor-loss LOCKs	common PMDs	breastNormalVsHer2Pos.T	OG	Tumor	-0.0784672871168003	-1.47101658885117	BNC2|Tumor-loss LOCKs
BNC2	chr9	16409502	16870670	-0.628562999037676	461168	Tumor-loss LOCKs	common PMDs	breastNormalVsHer2Pos.N	OG	Normal	0.272000522673032	-1.85397727209053	BNC2|Tumor-loss LOCKs
CBLN1	chr16	49277916	49281838	-0.275048698182017	3922	Shared LOCKs	common PMDs	breastNormalVsHer2Pos.T	OG	Tumor	-0.0141506520690761	-1.4878810451525	CBLN1|Shared LOCKs
CBLN1	chr16	49277916	49281838	-0.975657937177745	3922	Shared LOCKs	common PMDs	breastNormalVsHer2Pos.N	OG	Normal	0.152449964213202	-1.77765147105883	CBLN1|Shared LOCKs
CBLN4	chr20	55997356	56005519	-0.916771244042481	8163	Tumor-gain LOCKs	common PMDs	breastNormalVsHer2Pos.T	OG	Tumor	-0.62534160627338	-1.15446899301328	CBLN4|Tumor-gain LOCKs
CBLN4	chr20	55997356	56005519	-0.975657937177745	8163	Tumor-gain LOCKs	common PMDs	breastNormalVsHer2Pos.N	OG	Normal	0.863170378116853	-2.2375479155142	CBLN4|Tumor-gain LOCKs
CDH4	chr20	61252260	61940617	-0.693475795243481	688357	Tumor-gain LOCKs	common PMDs	breastNormalVsHer2Pos.T	OG	Tumor	-0.62534160627338	-1.15446899301328	CDH4|Tumor-gain LOCKs
CDH4	chr20	61252260	61940617	0.477831648895025	688357	Tumor-gain LOCKs	common PMDs	breastNormalVsHer2Pos.N	OG	Normal	0.863170378116853	-2.2375479155142	CDH4|Tumor-gain LOCKs
CNPY1	chr7	155501128	155546559	-0.975657937177745	45431	Shared LOCKs	common PMDs	breastNormalVsHer2Pos.N	OG	Normal	0.152449964213202	-1.77765147105883	CNPY1|Shared LOCKs
CNPY1	chr7	155501128	155546559	-0.94674459332812	45431	Shared LOCKs	common PMDs	breastNormalVsHer2Pos.T	OG	Tumor	-0.0141506520690761	-1.4878810451525	CNPY1|Shared LOCKs
CPXM2	chr10	123745638	123944104	-0.80844139255595	198466	Tumor-loss LOCKs	common PMDs	breastNormalVsHer2Pos.T	OG	Tumor	-0.0784672871168003	-1.47101658885117	CPXM2|Tumor-loss LOCKs
CPXM2	chr10	123745638	123944104	-0.975657937177745	198466	Tumor-loss LOCKs	common PMDs	breastNormalVsHer2Pos.N	OG	Normal	0.272000522673032	-1.85397727209053	CPXM2|Tumor-loss LOCKs
DCN	chr12	91140483	91182817	-0.944815471009441	42334	Tumor-loss LOCKs	common PMDs	breastNormalVsHer2Pos.T	OG	Tumor	-0.0784672871168003	-1.47101658885117	DCN|Tumor-loss LOCKs
DCN	chr12	91140483	91182817	0.272000522673032	42334	Tumor-loss LOCKs	common PMDs	breastNormalVsHer2Pos.N	OG	Normal	0.272000522673032	-1.85397727209053	DCN|Tumor-loss LOCKs
DIRAS2	chr9	90609831	90642824	-0.895687984873656	32993	Tumor-loss LOCKs	common PMDs	breastNormalVsHer2Pos.T	OG	Tumor	-0.0784672871168003	-1.47101658885117	DIRAS2|Tumor-loss LOCKs
DIRAS2	chr9	90609831	90642824	-0.975657937177745	32993	Tumor-loss LOCKs	common PMDs	breastNormalVsHer2Pos.N	OG	Normal	0.272000522673032	-1.85397727209053	DIRAS2|Tumor-loss LOCKs
DOK5	chr20	54475592	54651169	-0.907216155206185	175577	Tumor-gain LOCKs	common PMDs	breastNormalVsHer2Pos.T	OG	Tumor	-0.62534160627338	-1.15446899301328	DOK5|Tumor-gain LOCKs
DOK5	chr20	54475592	54651169	-0.975657937177745	175577	Tumor-gain LOCKs	common PMDs	breastNormalVsHer2Pos.N	OG	Normal	0.863170378116853	-2.2375479155142	DOK5|Tumor-gain LOCKs
DPP6	chr7	153748132	154894285	-0.915938283998659	1146153	Tumor-gain LOCKs	common PMDs	breastNormalVsHer2Pos.T	OG	Tumor	-0.62534160627338	-1.15446899301328	DPP6|Tumor-gain LOCKs
DPP6	chr7	153748132	154894285	-0.966873699235507	1146153	Tumor-gain LOCKs	common PMDs	breastNormalVsHer2Pos.N	OG	Normal	0.863170378116853	-2.2375479155142	DPP6|Tumor-gain LOCKs
ERC2	chr3	55508310	56468467	-0.950345766577357	960157	Tumor-loss LOCKs	common PMDs	breastNormalVsHer2Pos.N	OG	Normal	0.272000522673032	-1.85397727209053	ERC2|Tumor-loss LOCKs
