gene_name	chrom	start	end	MeanExp	d	LOCK_group	MD_anno	index	OG_TSG_anno	TorN	max	min	singleValue
ALK	chr2	29192773	29921586	-0.955440024037031	728813	Shared LOCKs	common PMDs	breastNormalVsTN_Basal.N	OG	Normal	-0.535336091948298	-1.32028924492037	ALK|Shared LOCKs
ALK	chr2	29192773	29921586	-0.984384538438882	728813	Shared LOCKs	common PMDs	breastNormalVsTN_Basal.T	OG	Tumor	-0.751493135861074	-1.15895618519757	ALK|Shared LOCKs
BHLHE23	chr20	63005926	63006964	-0.975657937177745	1038	Shared LOCKs	common PMDs	breastNormalVsTN_Basal.N	OG	Normal	-0.535336091948298	-1.32028924492037	BHLHE23|Shared LOCKs
BHLHE23	chr20	63005926	63006964	-0.994520166334262	1038	Shared LOCKs	common PMDs	breastNormalVsTN_Basal.T	OG	Tumor	-0.751493135861074	-1.15895618519757	BHLHE23|Shared LOCKs
BNC2	chr9	16409502	16870670	-0.2729985802214	461168	Tumor-loss LOCKs	common PMDs	breastNormalVsTN_Basal.T	OG	Tumor	0.59693137254725	-1.88054584688068	BNC2|Tumor-loss LOCKs
BNC2	chr9	16409502	16870670	-0.628562999037676	461168	Tumor-loss LOCKs	common PMDs	breastNormalVsTN_Basal.N	OG	Normal	0.203464795171526	-1.81510976310733	BNC2|Tumor-loss LOCKs
CA10	chr17	51630312	52160023	-0.975657937177745	529711	Tumor-gain LOCKs	common PMDs	breastNormalVsTN_Basal.N	OG	Normal	0.988956571758158	-2.28808806126965	CA10|Tumor-gain LOCKs
CA10	chr17	51630312	52160023	-0.994520166334262	529711	Tumor-gain LOCKs	common PMDs	breastNormalVsTN_Basal.T	OG	Tumor	-0.831585461893117	-1.11545960415599	CA10|Tumor-gain LOCKs
CACNA1C	chr12	1970779	2697950	-0.97941601983328	727171	Shared LOCKs	common PMDs	breastNormalVsTN_Basal.T	OG	Tumor	-0.751493135861074	-1.15895618519757	CACNA1C|Shared LOCKs
CACNA1C	chr12	1970779	2697950	-0.972616945153602	727171	Shared LOCKs	common PMDs	breastNormalVsTN_Basal.N	OG	Normal	-0.535336091948298	-1.32028924492037	CACNA1C|Shared LOCKs
CACNA1H	chr16	1153105	1221768	-0.933326538557427	68663	Shared LOCKs	common PMDs	breastNormalVsTN_Basal.N	OG	Normal	-0.535336091948298	-1.32028924492037	CACNA1H|Shared LOCKs
