gene_name	chrom	start	end	MeanExp	d	LOCK_group	MD_anno	index	OG_TSG_anno	TorN	max	min	singleValue
ABCB1	chr7	87503016	87713295	-1.02636188061569	210279	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	ABCB1|Tumor-loss LOCKs
ABCB1	chr7	87503016	87713295	-0.949487898670545	210279	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	ABCB1|Tumor-loss LOCKs
ABCB5	chr7	20615666	20757008	-0.978346574305461	141342	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	ABCB5|Tumor-loss LOCKs
ABCB5	chr7	20615666	20757008	-1.02636188061569	141342	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	ABCB5|Tumor-loss LOCKs
ACTC1	chr15	34790229	34795549	-1.02636188061569	5320	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	ACTC1|Tumor-loss LOCKs
ACTC1	chr15	34790229	34795549	-0.999587469077771	5320	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	ACTC1|Tumor-loss LOCKs
ALK	chr2	29192773	29921586	-0.520734879001283	728813	Shared LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	-0.520734879001283	-1.40082848304781	ALK|Shared LOCKs
ALK	chr2	29192773	29921586	-0.630169126782128	728813	Shared LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.588566363298394	-1.26758191506116	ALK|Shared LOCKs
AMPD1	chr1	114673097	114695546	-0.978851384572046	22449	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	AMPD1|Tumor-loss LOCKs
AMPD1	chr1	114673097	114695546	-1.02636188061569	22449	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	AMPD1|Tumor-loss LOCKs
AMPH	chr7	38383703	38631373	-1.01873373538388	247670	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	AMPH|Tumor-loss LOCKs
AMPH	chr7	38383703	38631373	-0.990290825106189	247670	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	AMPH|Tumor-loss LOCKs
ATP8A2	chr13	25371973	26025851	-0.963872211343791	653878	Shared LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.588566363298394	-1.26758191506116	ATP8A2|Shared LOCKs
ATP8A2	chr13	25371973	26025851	-0.9290576836961	653878	Shared LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	-0.520734879001283	-1.40082848304781	ATP8A2|Shared LOCKs
ATRNL1	chr10	115093364	115948999	-0.277253665161056	855635	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	ATRNL1|Tumor-loss LOCKs
ATRNL1	chr10	115093364	115948999	-0.992408878505521	855635	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	ATRNL1|Tumor-loss LOCKs
BHLHE23	chr20	63005926	63006964	-0.91667968247709	1038	Shared LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.588566363298394	-1.26758191506116	BHLHE23|Shared LOCKs
BHLHE23	chr20	63005926	63006964	-1.02636188061569	1038	Shared LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	-0.520734879001283	-1.40082848304781	BHLHE23|Shared LOCKs
C20orf85	chr20	58150901	58161150	-0.999587469077771	10249	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	C20orf85|Tumor-loss LOCKs
C20orf85	chr20	58150901	58161150	-1.02636188061569	10249	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	C20orf85|Tumor-loss LOCKs
CACNA1C	chr12	1970779	2697950	-0.991430061891375	727171	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.486871000325435	-2.21429406765828	CACNA1C|Tumor-gain LOCKs
CACNA1C	chr12	1970779	2697950	-0.983520353196222	727171	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.764065582341843	-1.16951600764962	CACNA1C|Tumor-gain LOCKs
CACNA1E	chr1	181317698	181808084	-0.913072965463956	490386	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	CACNA1E|Tumor-loss LOCKs
CACNA1E	chr1	181317698	181808084	-1.00375421284578	490386	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	CACNA1E|Tumor-loss LOCKs
CACNA1H	chr16	1153105	1221768	-0.764065582341843	68663	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.764065582341843	-1.16951600764962	CACNA1H|Tumor-gain LOCKs
CACNA1H	chr16	1153105	1221768	-1.02636188061569	68663	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.486871000325435	-2.21429406765828	CACNA1H|Tumor-gain LOCKs
CACNG3	chr16	24256334	24362412	-1.02636188061569	106078	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.486871000325435	-2.21429406765828	CACNG3|Tumor-gain LOCKs
CACNG3	chr16	24256334	24362412	-0.999587469077771	106078	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.764065582341843	-1.16951600764962	CACNG3|Tumor-gain LOCKs
CADPS	chr3	62398347	62875416	-0.952679767910343	477069	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	CADPS|Tumor-loss LOCKs
CADPS	chr3	62398347	62875416	-0.999587469077771	477069	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	CADPS|Tumor-loss LOCKs
CASP14	chr19	15049479	15058293	-1.02636188061569	8814	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.486871000325435	-2.21429406765828	CASP14|Tumor-gain LOCKs
CASP14	chr19	15049479	15058293	-0.999587469077771	8814	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.764065582341843	-1.16951600764962	CASP14|Tumor-gain LOCKs
CBLN1	chr16	49277916	49281838	-0.999587469077771	3922	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.764065582341843	-1.16951600764962	CBLN1|Tumor-gain LOCKs
CBLN1	chr16	49277916	49281838	-1.02636188061569	3922	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.486871000325435	-2.21429406765828	CBLN1|Tumor-gain LOCKs
CBLN4	chr20	55997356	56005519	-1.02636188061569	8163	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	CBLN4|Tumor-loss LOCKs
CBLN4	chr20	55997356	56005519	-0.999587469077771	8163	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	CBLN4|Tumor-loss LOCKs
CCDC105	chr19	15010725	15023276	-1.02636188061569	12551	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.486871000325435	-2.21429406765828	CCDC105|Tumor-gain LOCKs
CCDC105	chr19	15010725	15023276	-0.999587469077771	12551	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.764065582341843	-1.16951600764962	CCDC105|Tumor-gain LOCKs
CCDC60	chr12	119334728	119541040	-0.961865679017643	206312	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.486871000325435	-2.21429406765828	CCDC60|Tumor-gain LOCKs
CCDC60	chr12	119334728	119541040	-0.999587469077771	206312	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.764065582341843	-1.16951600764962	CCDC60|Tumor-gain LOCKs
CCM2L	chr20	32010437	32032180	-1.02636188061569	21743	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	CCM2L|Tumor-loss LOCKs
CCM2L	chr20	32010437	32032180	-0.594081714452715	21743	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	CCM2L|Tumor-loss LOCKs
CD1A	chr1	158248335	158258269	-1.02636188061569	9934	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	CD1A|Tumor-loss LOCKs
CD1A	chr1	158248335	158258269	-0.999587469077771	9934	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	CD1A|Tumor-loss LOCKs
CD5L	chr1	157827067	157841808	-0.999587469077771	14741	Shared LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.588566363298394	-1.26758191506116	CD5L|Shared LOCKs
CD5L	chr1	157827067	157841808	-1.00069404403982	14741	Shared LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	-0.520734879001283	-1.40082848304781	CD5L|Shared LOCKs
CD84	chr1	160541097	160579496	-0.999587469077771	38399	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	CD84|Tumor-loss LOCKs
CD84	chr1	160541097	160579496	-1.02636188061569	38399	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	CD84|Tumor-loss LOCKs
CDH4	chr20	61252260	61940617	-1.01763054682868	688357	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.486871000325435	-2.21429406765828	CDH4|Tumor-gain LOCKs
CDH4	chr20	61252260	61940617	-0.871782451453233	688357	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.764065582341843	-1.16951600764962	CDH4|Tumor-gain LOCKs
CHRNA4	chr20	63343222	63361349	-1.02636188061569	18127	Shared LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	-0.520734879001283	-1.40082848304781	CHRNA4|Shared LOCKs
CHRNA4	chr20	63343222	63361349	-0.999587469077771	18127	Shared LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.588566363298394	-1.26758191506116	CHRNA4|Shared LOCKs
CHST10	chr2	100391859	100417668	0.263027038029094	25809	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	CHST10|Tumor-loss LOCKs
CHST10	chr2	100391859	100417668	0.471310303189969	25809	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	CHST10|Tumor-loss LOCKs
CNPY1	chr7	155501128	155546559	-1.02636188061569	45431	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	CNPY1|Tumor-loss LOCKs
CNPY1	chr7	155501128	155546559	-0.908440961467908	45431	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	CNPY1|Tumor-loss LOCKs
COL19A1	chr6	69866555	70212468	-0.967140727214321	345913	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	COL19A1|Tumor-loss LOCKs
COL19A1	chr6	69866555	70212468	-1.02129679624222	345913	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	COL19A1|Tumor-loss LOCKs
COL22A1	chr8	138588234	138914041	-0.999587469077771	325807	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.764065582341843	-1.16951600764962	COL22A1|Tumor-gain LOCKs
COL22A1	chr8	138588234	138914041	-0.8800558511507	325807	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.486871000325435	-2.21429406765828	COL22A1|Tumor-gain LOCKs
COL5A1	chr9	134641802	134844843	0.475537973123985	203041	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.486871000325435	-2.21429406765828	COL5A1|Tumor-gain LOCKs
COL5A1	chr9	134641802	134844843	-0.764065582341843	203041	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.764065582341843	-1.16951600764962	COL5A1|Tumor-gain LOCKs
COL9A1	chr6	70215060	70303084	-0.992150129666252	88024	Shared LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.588566363298394	-1.26758191506116	COL9A1|Shared LOCKs
