gene_name	chrom	start	end	MeanExp	d	LOCK_group	MD_anno	index	OG_TSG_anno	TorN	max	min	singleValue
CACNA1C	chr12	1970779	2697950	-0.434033065834254	727171	Tumor-loss LOCKs	common PMDs	breastNormalVsLuminalA.T	OG	Tumor	0.774424969177049	-2.07931518170144	CACNA1C|Tumor-loss LOCKs
CACNA1C	chr12	1970779	2697950	-0.972616945153602	727171	Tumor-loss LOCKs	common PMDs	breastNormalVsLuminalA.N	OG	Normal	0.0795033749956592	-1.78420205469504	CACNA1C|Tumor-loss LOCKs
CBLN4	chr20	55997356	56005519	-0.688709755673063	8163	Tumor-gain LOCKs	common PMDs	breastNormalVsLuminalA.T	OG	Tumor	-0.688709755673063	-1.16656028440833	CBLN4|Tumor-gain LOCKs
CBLN4	chr20	55997356	56005519	-0.975657937177745	8163	Tumor-gain LOCKs	common PMDs	breastNormalVsLuminalA.N	OG	Normal	0.772402392716709	-2.22298274678097	CBLN4|Tumor-gain LOCKs
CCDC60	chr12	119334728	119541040	-0.962414852332885	206312	Tumor-gain LOCKs	common PMDs	breastNormalVsLuminalA.T	OG	Tumor	-0.688709755673063	-1.16656028440833	CCDC60|Tumor-gain LOCKs
CCDC60	chr12	119334728	119541040	-0.975657937177745	206312	Tumor-gain LOCKs	common PMDs	breastNormalVsLuminalA.N	OG	Normal	0.772402392716709	-2.22298274678097	CCDC60|Tumor-gain LOCKs
CCM2L	chr20	32010437	32032180	-0.655120144922798	21743	Tumor-loss LOCKs	common PMDs	breastNormalVsLuminalA.T	OG	Tumor	0.774424969177049	-2.07931518170144	CCM2L|Tumor-loss LOCKs
CCM2L	chr20	32010437	32032180	-0.944018464104657	21743	Tumor-loss LOCKs	common PMDs	breastNormalVsLuminalA.N	OG	Normal	0.0795033749956592	-1.78420205469504	CCM2L|Tumor-loss LOCKs
CD84	chr1	160541097	160579496	-0.971352285636758	38399	Tumor-loss LOCKs	common PMDs	breastNormalVsLuminalA.N	OG	Normal	0.0795033749956592	-1.78420205469504	CD84|Tumor-loss LOCKs
CD84	chr1	160541097	160579496	-0.962414852332885	38399	Tumor-loss LOCKs	common PMDs	breastNormalVsLuminalA.T	OG	Tumor	0.774424969177049	-2.07931518170144	CD84|Tumor-loss LOCKs
CDH4	chr20	61252260	61940617	-0.771818150563493	688357	Tumor-gain LOCKs	common PMDs	breastNormalVsLuminalA.T	OG	Tumor	-0.688709755673063	-1.16656028440833	CDH4|Tumor-gain LOCKs
CDH4	chr20	61252260	61940617	0.477831648895025	688357	Tumor-gain LOCKs	common PMDs	breastNormalVsLuminalA.N	OG	Normal	0.772402392716709	-2.22298274678097	CDH4|Tumor-gain LOCKs
COL22A1	chr8	138588234	138914041	-0.23658892791351	325807	Tumor-gain LOCKs	common PMDs	breastNormalVsLuminalA.N	OG	Normal	0.772402392716709	-2.22298274678097	COL22A1|Tumor-gain LOCKs
COL22A1	chr8	138588234	138914041	-0.952251564728651	325807	Tumor-gain LOCKs	common PMDs	breastNormalVsLuminalA.T	OG	Tumor	-0.688709755673063	-1.16656028440833	COL22A1|Tumor-gain LOCKs
COL5A1	chr9	134641802	134844843	0.774424969177049	203041	Tumor-loss LOCKs	common PMDs	breastNormalVsLuminalA.T	OG	Tumor	0.774424969177049	-2.07931518170144	COL5A1|Tumor-loss LOCKs
COL5A1	chr9	134641802	134844843	0.0795033749956592	203041	Tumor-loss LOCKs	common PMDs	breastNormalVsLuminalA.N	OG	Normal	0.0795033749956592	-1.78420205469504	COL5A1|Tumor-loss LOCKs
CPXM2	chr10	123745638	123944104	-0.835816611848135	198466	Tumor-loss LOCKs	common PMDs	breastNormalVsLuminalA.T	OG	Tumor	0.774424969177049	-2.07931518170144	CPXM2|Tumor-loss LOCKs
CPXM2	chr10	123745638	123944104	-0.975657937177745	198466	Tumor-loss LOCKs	common PMDs	breastNormalVsLuminalA.N	OG	Normal	0.0795033749956592	-1.78420205469504	CPXM2|Tumor-loss LOCKs
DCN	chr12	91140483	91182817	-0.937251506466937	42334	Tumor-loss LOCKs	common PMDs	breastNormalVsLuminalA.T	OG	Tumor	0.774424969177049	-2.07931518170144	DCN|Tumor-loss LOCKs
DCN	chr12	91140483	91182817	0.0795033749956592	42334	Tumor-loss LOCKs	common PMDs	breastNormalVsLuminalA.N	OG	Normal	0.0795033749956592	-1.78420205469504	DCN|Tumor-loss LOCKs
DIRAS2	chr9	90609831	90642824	-0.937954644773006	32993	Tumor-loss LOCKs	common PMDs	breastNormalVsLuminalA.T	OG	Tumor	0.774424969177049	-2.07931518170144	DIRAS2|Tumor-loss LOCKs
