gene_name	chrom	start	end	MeanExp	d	LOCK_group	MD_anno	index	OG_TSG_anno	TorN	max	min	singleValue
ABCB1	chr7	87503016	87713295	-1.02636188061569	210279	Tumor-loss LOCKs	common PMDs	NE2_KYSE510.N	OG	NE2	0.43236197555579	-2.16762463617959	ABCB1|Tumor-loss LOCKs
ABCB1	chr7	87503016	87713295	-0.997915154234679	210279	Tumor-loss LOCKs	common PMDs	NE2_KYSE510.T	OG	KYSE510	0.122251421126494	-1.74761597009428	ABCB1|Tumor-loss LOCKs
ABCB5	chr7	20615666	20757008	-0.288603742661306	141342	Tumor-loss LOCKs	common PMDs	NE2_KYSE510.T	OG	KYSE510	0.122251421126494	-1.74761597009428	ABCB5|Tumor-loss LOCKs
ABCB5	chr7	20615666	20757008	-1.02636188061569	141342	Tumor-loss LOCKs	common PMDs	NE2_KYSE510.N	OG	NE2	0.43236197555579	-2.16762463617959	ABCB5|Tumor-loss LOCKs
ACSM2B	chr16	20536225	20576367	-1.02636188061569	40142	Tumor-gain LOCKs	common PMDs	NE2_KYSE510.N	OG	NE2	1.00751618951085	-2.60039120281536	ACSM2B|Tumor-gain LOCKs
ACSM2B	chr16	20536225	20576367	-1.00515515552036	40142	Tumor-gain LOCKs	common PMDs	NE2_KYSE510.T	OG	KYSE510	0.513388128273281	-2.21830658670698	ACSM2B|Tumor-gain LOCKs
ACTC1	chr15	34790229	34795549	-1.02636188061569	5320	Tumor-loss LOCKs	common PMDs	NE2_KYSE510.N	OG	NE2	0.43236197555579	-2.16762463617959	ACTC1|Tumor-loss LOCKs
ACTC1	chr15	34790229	34795549	-0.927220654915205	5320	Tumor-loss LOCKs	common PMDs	NE2_KYSE510.T	OG	KYSE510	0.122251421126494	-1.74761597009428	ACTC1|Tumor-loss LOCKs
ADAMTS2	chr5	179110852	179345461	-0.97813326009844	234609	Tumor-gain LOCKs	common PMDs	NE2_KYSE510.T	OG	KYSE510	0.513388128273281	-2.21830658670698	ADAMTS2|Tumor-gain LOCKs
ADAMTS2	chr5	179110852	179345461	-1.02636188061569	234609	Tumor-gain LOCKs	common PMDs	NE2_KYSE510.N	OG	NE2	1.00751618951085	-2.60039120281536	ADAMTS2|Tumor-gain LOCKs
